smiles,VE1_A,AATS7p,ATSC1v,ATSC7v,ATSC3p,AATSC2c,AATSC0p,MATS3c,MATS5c,MATS8c,MATS5d,MATS1m,MATS6m,MATS1se,MATS4are,MATS6are,MATS7are,MATS5p,MATS1i,MATS4i,MATS6i,GATS3c,GATS6c,GATS7c,GATS8c,GATS2d,GATS4d,GATS5d,GATS1s,GATS4m,GATS5v,GATS6v,GATS4are,GATS5are,GATS3p,GATS5p,GATS8p,BCUTc-1h,BCUTc-1l,BCUTm-1l,AXp-7d,AXp-7dv,NssCH2,SsNH2,ETA_shape_y,AETA_beta_ns_d,IC2,BIC0,BIC1,CIC5,PEOE_VSA7,SMR_VSA3,SlogP_VSA2,EState_VSA4,EState_VSA5,EState_VSA10,MDEC-23,MDEC-33,MDEO-11,AMID_N,AMID_O,naHRing,n6aHRing,n9FAHRing,JGI2,JGI5,PetitjeanIndex,MATS7c,MATS4d,MATS1s,MATS1v,MATS8are,MATS8i,GATS5c,GATS8d,GATS6m,GATS8v,GATS6p,GATS4i,BCUTd-1h,MIC5,PEOE_VSA9,EState_VSA6,EState_VSA7,JGI4,JGI8,JGI9,JGI10
[H]c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n([H])c(=O)c7cc6c5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,4.33476063,1.330359782,81.32360723,954.9846094,-5.187425964,0.004730026,0.243795901,-0.186780817,-0.037916267,-0.05989887,0.060533582,0.014260726,-0.261767445,-0.032410722,0.235632266,-0.202289746,0.571494479,-0.003155768,-0.021513838,0.106113395,0.03250406,1.344369616,1.027376214,0.623053486,1.124861064,1.082283701,1.137445291,0.876136813,0.587631848,0.866501798,1.035293912,1.160614341,0.916677726,1.518278254,1.073090051,1.042556738,0.955934516,0.542842739,-0.49533894,11.66564285,0.025910905,0.004703138,0,0,0.343265053,0.058823529,3.995165637,0.266129525,0.474193991,0.640982747,83.9233078,9.551078169,21.9036752,40.96530206,36.39820241,45.52063902,38.96753442,17.18627459,1.087380373,0.083500422,0.221819994,2,0,0,0.088383838,0.022173382,0.48,0.390644323,-0.1086812,-0.076068534,0.025453198,0.003099472,-0.129922434,0.852496478,1.389761921,1.369861218,0.840931038,1.038278346,1.059153481,4.157235407,53.17788845,27.23228313,30.33183534,0,0.037945493,0.015209141,0.010028559,0.005732471
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N([H])C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,5.060185807,1.449952846,61.87202558,-693.6348601,-5.745502488,0.001818624,0.231873656,-0.272679758,-0.115928051,0.248460138,0.078280641,0.017196034,-0.068690811,-0.038677922,0.299523301,-0.126182515,0.273487,0.124399697,-0.026532537,0.133504486,-0.157373478,1.492798297,1.051274925,1.107839672,0.845379229,1.05950218,1.066062565,0.982297531,0.573091104,0.83002505,0.922676233,1.04508536,0.890347771,1.546473236,1.064924424,0.899156334,0.828067105,0.542958548,-0.493359798,11.68696449,0.02564455,0.004531866,0,0,0.352058824,0.028169014,4.20387461,0.24804841,0.474412653,0.604573959,96.05604194,5.316788604,35.98131595,6.066367068,60.66367068,34.9638234,0,30.35584299,0.765250257,0.133979286,0.218264682,0,0,2,0.087768441,0.025347222,0.483870968,-0.027482741,-0.017931944,-0.055059417,0.014880763,0.200863631,0.150215436,1.026496951,0.843176101,0.983310985,0.931567301,1.112946959,1.020822189,4.157296915,59.26406486,27.94119224,42.46456948,17.45523123,0.033642384,0.010004747,0.008340776,0.006701528
[H]c1ccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N([H])C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c4C#N)c3C#N)c2C#N)cc1,5.038634033,1.427490703,61.87202558,-756.2674933,-5.745502488,0.001893464,0.231873656,-0.262544245,-0.028669453,0.196755316,0.074870074,0.017196034,-0.09492537,-0.038677922,0.282276524,-0.158815725,0.321157354,0.120255818,-0.026532537,0.133479446,-0.161821567,1.483398251,1.106174253,1.080137137,0.874541574,1.067292637,1.068727721,0.979726072,0.573091104,0.854314468,0.941943954,1.070801823,0.907414895,1.515046686,1.064924424,0.90807847,0.81932671,0.542945111,-0.49343527,11.68696449,0.025842332,0.004543926,0,0,0.352058824,0.028169014,4.209416996,0.24804841,0.474412653,0.604573959,108.1887761,5.316788604,35.98131595,0,66.73003775,34.9638234,0,29.09383212,0.765250257,0.133956575,0.218226049,0,0,2,0.089635854,0.02611715,0.5,0.017486581,-0.030219718,-0.055059417,0.014880763,0.205969366,0.140336257,0.904886657,0.845541601,1.024736613,0.923269913,1.127513653,1.020846968,4.157296893,59.26406486,27.94119224,42.46456948,17.45523123,0.034933333,0.010095838,0.00842021,0.006256771
[H]c1ccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)cc1,4.715613239,1.555533858,33.03578388,-576.0808748,-1.735674513,0.002383863,0.216464122,-0.232509052,-0.14289315,0.197809547,-0.044680112,0.037136808,-0.023110441,-0.053391574,0.114645316,0.098180095,-0.093960422,0.101765255,-0.06749117,0.074721181,-0.131629503,1.533132173,0.737354764,1.031435632,0.940412003,1.047798631,1.088744134,1.058814448,0.525136665,0.97012432,0.917766341,1.075145903,1.094065424,1.116943865,1.021889556,0.85464113,0.910115359,0.477362168,-0.494935857,11.699134,0.028497589,0.004526614,0,0,0.386440678,0.03968254,3.905725404,0.222882735,0.431311162,0.460560512,97.0618731,5.316788604,23.62871892,4.899909731,60.66367068,34.9638234,0,30.35584299,0.765250257,0.150979866,0.279083895,0,0,2,0.069716776,0.021674383,0.483870968,-0.089725465,-0.068711914,-0.025004184,0.008114244,0.007225874,0.159834837,1.11895685,0.936489519,0.914914664,0.944542721,1.073674695,0.920666365,3.261338977,57.06348883,27.94119224,78.86277189,6.066367068,0.034545455,0.009494841,0.007564513,0.005735614
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)cc3)cc2)cc1,4.796605956,1.418257745,-10.6052099,564.2151169,-4.507181828,0.004448593,0.230230784,-0.103503638,0.232944542,0.019408206,0.017259496,0.055373365,-0.047344087,-0.030411716,-0.173004222,0.050600729,0.187429862,0.01429823,-0.139220051,0.029697228,-0.06174088,1.444666971,0.859553293,0.764030619,1.228856591,1.131867455,1.060512533,0.882549813,0.551566278,1.158394894,1.022916642,1.110725498,1.38873572,0.834299084,1.076852807,0.974527676,0.928243052,0.452856203,-0.49602848,11.69913401,0.028230164,0.00489316,0,0,0.416403785,0.033333333,3.900656884,0.229245971,0.467857754,0.31173587,103.9856103,4.899909731,35.57630063,21.11278279,31.31314026,19.17814874,43.26503283,17.88520378,0.765250257,0.09687252,0.29746441,0,0,2,0.071111111,0.021781305,0.5,0.137349295,-0.07877385,-0.065438942,-0.003007723,-0.164178676,0.016631244,0.623303608,1.092282197,1.02484325,0.880912732,1.064082029,0.969438838,3.2566505,51.5451492,27.94119224,48.53093655,43.32193961,0.039607843,0.009542123,0.009380892,0.005878955
[H]C(C)COCC(C)COCC(C)N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N([H])C4=O)cc2C1=O,4.313813588,1.197458611,-38.15980104,149.3280942,-2.04052624,0.003045049,0.227268982,-0.073599618,0.103744963,0.004577641,-0.007334817,0.051138394,0.157707483,-0.038926301,-0.054796824,0.142261331,-0.003883834,-0.107614361,-0.158234334,0.096007837,0.011266465,1.216099723,0.660848976,0.830804327,1.114406475,1.090914597,0.988582677,0.952764464,0.55231652,0.970201341,1.158879637,0.943601058,1.270211032,1.021761076,1.059948409,1.105648904,0.759839296,0.446730899,-0.494577616,11.69913401,0.028306202,0.005638661,5,0,0.396694215,0.014285714,4.357611669,0.249224941,0.540002637,0.416899405,49.74276123,10.21669833,60.99799734,6.420821623,23.09901094,19.17814874,24.68957012,14.5734815,0.765250257,0.120379546,0.376660207,0,0,2,0.0781893,0.027222222,0.476190476,0.011804894,-0.010955152,-0.036446086,-0.01186274,-0.065512294,0.125689996,0.827597856,0.943399229,0.796738755,0.760042769,0.95558929,0.84816045,3.252151161,45.16999742,48.11629269,25.12283841,6.9237372,0.034358974,0.011626076,0.009326923,0.008617709
[H]c1ccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(S(=O)(=O)c6ccc7c(c6)C(=O)N([H])C7=O)cc5C4=O)c3)c2C#N)cc1,5.089142392,1.541613297,87.14936387,-161.9925947,-4.9908051,0.003304959,0.257712087,-0.150564733,-0.3112979,0.098656262,-0.040916777,0.126241189,0.058648511,-0.002129867,-0.06720544,0.290647607,0.079318737,0.03638862,-0.05322153,0.059681947,-0.079990637,1.292532681,0.763565139,0.865714275,0.9739856,1.092914074,1.049434671,1.091859137,0.602118544,1.129939554,0.935132436,1.051691726,1.244838197,1.305821056,1.192667613,0.983798604,0.980783294,0.467701622,-0.493073452,11.69960234,0.026527875,0.00737567,0,0,0.378378378,0.021276596,4.113739907,0.253544606,0.486179939,0.060606061,72.79640482,5.316788604,32.0465159,17.03264387,36.39820241,32.85783728,46.52778789,20.97963362,2.319620876,0.127763876,0.315600617,0,0,2,0.084388186,0.027866809,0.47826087,0.042148478,0.000178285,-0.096178934,0.027948489,-0.101319096,0.046794955,1.27777886,0.985644501,0.846473994,0.976582504,1.061219876,0.943295458,4.048645847,58.24503063,37.73215919,54.59730362,6.066367068,0.035284553,0.010402212,0.008692426,0.007033912
N#Cc1ccc(Oc2ccc(NC3CC(=O)N(c4ccc(N5C(=O)CC(Nc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)C5=O)cc4)C3=O)cc2)cc1C#N,5.190754175,1.385786668,49.91679869,1694.935487,0.862442878,0.002866009,0.214781974,-0.099789643,0.204912821,-0.027041997,0.032740637,0.030145811,0.011154131,-0.060648323,-0.093164684,-0.058184868,0.059638077,-0.133597335,-0.0933786,-0.024485217,-0.03839686,1.396862329,0.945620298,0.918527918,1.216786587,1.264295841,1.078020278,0.89228791,0.487461684,1.097140294,1.152952399,1.081230255,1.185908124,0.934062687,0.946528643,1.145475559,0.953342629,0.448237082,-0.495146149,11.69790991,0.029861383,0.00566549,2,0,0.374045802,0.035714286,4.222690419,0.237152266,0.512518652,0.87804878,109.1946072,0,35.71240058,9.799819462,48.53093655,29.70193185,0,18.41851495,0.873580465,0.278135963,0.202022048,0,0,0,0.070707071,0.023052288,0.484848485,0.002434191,-0.094995322,0.01321539,0.012850344,-0.038059155,0.096572259,0.669338138,1.056776938,1.102998733,0.980354919,1.043049508,0.999563321,3.215578089,49.92430264,46.47022176,60.66367068,24.27688525,0.040925926,0.009390556,0.008706919,0.007257521
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,4.135019606,1.419255374,51.32290638,-32.79403729,-2.316788592,0.008469653,0.213040399,-0.165521843,-0.313070155,0.11248134,-0.059233449,0.011913623,-0.139603828,-0.059197717,-0.06710194,0.308871098,0.158577089,0.074884601,-0.066780873,-0.015191878,0.12783574,1.080795379,0.804332537,0.772636584,0.622253618,0.982384824,0.994664634,1.136759582,0.518697842,1.037353358,0.856896886,1.110137043,1.135311667,1.449344462,1.102264799,0.921744414,1.310159307,0.51097994,-0.408734556,11.66564285,0.024010405,0.004451829,0,0,0.483552632,0.090909091,3.493344864,0.302274954,0.515417466,0.4,24.26546827,9.551078169,9.551078169,4.567099648,12.13273414,19.17814874,16.73164026,13.97715629,1.087380373,0.193165279,0.325736019,2,0,0,0.081871345,0.031611111,0.4,-0.101440756,0.014412417,-0.042349133,0.03877433,0.143033588,-0.319484533,1.400338404,1.143292683,1.072334448,1.293970443,1.061350594,1.014653071,3.328661336,43.46455922,27.23228313,30.33183534,0,0.041015873,0.010834619,0.0075,0.008230453
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1,4.212408178,1.415171458,106.1402138,412.0982418,-4.501194722,0.004535079,0.23272349,-0.128171225,0.059101997,0.029730784,0.094980651,0.046012686,0.130397062,-0.028407128,-0.013312645,0.139504921,-0.114452896,0.018201139,-0.043544239,-0.082473664,0.014401989,1.267153471,0.679554046,1.158243902,1.165527336,1.321666726,0.992096391,0.759192256,0.549730804,1.062850579,1.041711991,1.005139734,1.003697254,0.790216985,1.071726113,1.00341658,0.985327882,0.451639706,-0.495243442,11.69382381,0.027978498,0.005470665,0,0,0.370892019,0.022222222,3.995165637,0.222789003,0.474193991,0.584644718,83.9233078,5.316788604,23.62871892,11.12690298,4.899909731,19.17814874,42.46384927,15.31784811,0.496763154,0.094330813,0.251489831,0,0,2,0.081871345,0.024965278,0.48,0.000479684,-0.047001003,-0.064332513,0.028442579,-0.148913526,-0.008543002,0.68423039,1.315282708,0.910922384,0.97500977,0.991638041,1.06931087,4.028063828,48.32274969,27.94119224,60.66367068,54.59730362,0.035372907,0.010349667,0.008163108,0.006763075
