smiles,p_value,d_value,label,testTemperature,testfrequency,AATS6p,ATSC1d,AATSC8i,MATS3dv,MATS5d,MATS7d,MATS1s,MATS3s,MATS8m,MATS1v,MATS7are,MATS1i,MATS8i,GATS8d,GATS4s,GATS8m,GATS2v,GATS6v,GATS8v,GATS5are,GATS7are,GATS7p,GATS7i,AXp-2d,SdssC,SaaaC,MINdO,ETA_shape_y,IC1,IC2,CIC5,PEOE_VSA8,SMR_VSA6,SlogP_VSA3,EState_VSA3,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA10,n6HRing,naRing,JGI8,JGI10,Cc1cc(N)ccc1N,N,c1ccc(Oc2ccccn2)cc1,O=C1NCc2ccc(O)cc21,COc1ccc(C)cc1,Cc1ccc(N)c(C)c1,Cc1cc(N)ccc1O,CC(F)F,O=C1CCCN1,Nc1ccc(O)cc1,CNc1ccc(N)cc1,NCC=O,O=C1NCc2cc(O)ccc21,c1ccc(-c2ccccn2)cc1,CCC,Nc1cccc(O)c1,c1ccccc1,Cc1ccc2c(c1)CN(C)C2,CC(C)C,O=CNc1ccccc1,Cc1cnc2ccccc2n1,COc1ccc(O)cc1,O=C1NCc2ccccc21,COc1ccccc1C,NCCN,C=O,CCc1ccc2c(c1)CNC2,c1ccc(Cc2ccccc2)cc1,CCCN,CN,O=[SH]c1ccccc1,Cc1cccc(N)c1,C,Cc1ccccn1,Oc1ccccc1,CN1Cc2ccc(O)cc2C1,S,COc1ccc(N)cn1,Cc1ccc(O)c(C)c1,Oc1ccc(S)cc1,CCc1ccc(O)cc1,CNc1ccc(O)cc1,Cc1ccc(N)cc1,Nc1cccc2c1CCC2,Fc1ccccc1,COc1ccc(N)cc1,c1ccc(Oc2ccccc2)cc1,Nc1cccnc1,COc1cccc(N)c1,Oc1ccccc1-c1ccccc1,Sc1ccccc1,c1ccc2c(c1)Cc1cc3c(cc1O2)CNC3,CNc1ccccc1,Cc1ccc(O)cc1,CNCN,CC(C)=O,CS,CNc1ccc(S)cc1,CC1CCc2ccccc21,CNC=O,Cc1ccccc1O,Cc1ccnc(C)c1
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccccc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.2,1,0,25,6.0,1.7188463572301005,17.376568047337276,0.0069428755340311,0.1658969990358005,-0.0472271312616318,0.0152617006968192,-0.0634910786459416,0.0249689052794969,0.0978343353171843,0.0336442192366151,0.1712781497496139,-0.061405741346166,0.0046571816554935,1.067076568354309,1.1553461387304067,0.9889618789092616,0.8875735843573249,1.095643243492705,0.9609056721090626,1.3463375958330976,0.726568576775548,0.8503799120618133,0.9758720979710604,0.2608872873508946,-2.083256416965208,0.0,11.290712111570292,0.3661971830985916,2.658500178764789,3.7016765229620856,0.1538461538461542,21.47707118041372,9.799819461700956,4.565048284931329,33.32668319524027,103.1282401638474,0.0,0.0,23.97268592035911,0,5,0.0111651431405895,0.0057690816478695,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4,0,0,4,0,0,5,0,0,0,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,2.98,1,0,23,6.0,1.5384494363172614,22.571,0.0987943001620812,0.149570960922665,0.0195574575788167,0.0725791927640926,-0.0353017149549977,0.0722474764885238,0.107179565413342,0.0513298718759566,0.1498790070627047,-0.0240693261238922,0.0679411506436662,1.1450747719121024,0.91805337822906,1.0547087766840026,0.9332830667402152,1.0178339313743203,0.8392655680559002,1.0923869546278198,0.9461020691745944,0.8894008589431823,0.947384224675182,0.2585554270097306,-2.128597002008064,0.0,11.50412966757786,0.3644544431946007,3.294624040791981,4.475497064686901,0.5803910001730754,21.47707118041372,9.799819461700956,9.98003875432811,33.69880387841408,97.0618730953858,12.13273413692322,12.13273413692322,23.97268592035911,0,6,0.0107798416330162,0.0056307557429891,0,2,0,0,1,0,0,0,0,0,0,0,0,0,21,0,6,1,7,4,0,0,4,0,0,5,0,0,0,6,0,0,51,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O,3.69,1,0,25,3.0,1.6198923188205128,10.512471655328802,0.0105549091522058,0.0913894291172573,-0.0746970071728913,0.0288987138263665,-0.0279841037044045,-0.0290544406178836,0.271110105013467,0.0025950205057486,0.0279826937002171,-0.1376263222074789,0.0069718049945908,0.9324423901393356,1.0313640145938685,0.7928539474975052,0.866452884554827,1.0912938009318551,0.9286828736626408,1.6901623684063944,0.8393191346850108,1.098169720698569,1.0573845868070055,0.2608849904158583,-2.040145360358204,0.0,11.01352995834348,0.4510739856801908,2.6234464998611946,3.515921344036528,0.2380952380952381,5.563451491696996,9.799819461700956,0.0,17.413063506523546,42.46456947923127,0.0,0.0,23.97268592035911,0,3,0.0114432861622015,0.007979968030473,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,4,0,0,5,0,0,0,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.55,0.0495,0,100,3.0,1.5808486577232663,12.469421487603308,-0.1228566127967788,0.0961920973109436,-0.1094482662882526,-0.0233616215011304,-0.0269937064744381,-0.0092535727161992,0.0723522656773263,0.0166912638159391,-0.149114349618737,-0.0942201031296311,-0.083160028422482,0.8674615321916005,0.934646984187136,0.9120413746358698,0.8973318601304336,1.1072290333907866,1.1145814298086758,1.544490909395995,1.0763521610791582,1.0028278343342267,0.9459151137591868,0.2651531209572836,-1.637120950432915,0.0,11.115521636229968,0.41793893129771,2.8391298974700887,3.843116823813245,0.2181818181818196,5.563451491696996,9.799819461700956,6.4208216229260096,40.77210917051367,60.6636706846161,12.13273413692322,0.0,23.97268592035911,0,4,0.0094433922558922,0.0061143943972226,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,4,0,0,4,0,0,5,0,1,0,6,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.5,0.022,0,-47,3.0,1.5808486577232663,12.469421487603308,-0.1228566127967788,0.0961920973109436,-0.1094482662882526,-0.0233616215011304,-0.0269937064744381,-0.0092535727161992,0.0723522656773263,0.0166912638159391,-0.149114349618737,-0.0942201031296311,-0.083160028422482,0.8674615321916005,0.934646984187136,0.9120413746358698,0.8973318601304336,1.1072290333907866,1.1145814298086758,1.544490909395995,1.0763521610791582,1.0028278343342267,0.9459151137591868,0.2651531209572836,-1.637120950432915,0.0,11.115521636229968,0.41793893129771,2.8391298974700887,3.843116823813245,0.2181818181818196,5.563451491696996,9.799819461700956,6.4208216229260096,40.77210917051367,60.6636706846161,12.13273413692322,0.0,23.97268592035911,0,4,0.0094433922558922,0.0061143943972226,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,4,0,0,4,0,0,5,0,1,0,6,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.3,0.014,0,-30,3.0,1.5808486577232663,12.469421487603308,-0.1228566127967788,0.0961920973109436,-0.1094482662882526,-0.0233616215011304,-0.0269937064744381,-0.0092535727161992,0.0723522656773263,0.0166912638159391,-0.149114349618737,-0.0942201031296311,-0.083160028422482,0.8674615321916005,0.934646984187136,0.9120413746358698,0.8973318601304336,1.1072290333907866,1.1145814298086758,1.544490909395995,1.0763521610791582,1.0028278343342267,0.9459151137591868,0.2651531209572836,-1.637120950432915,0.0,11.115521636229968,0.41793893129771,2.8391298974700887,3.843116823813245,0.2181818181818196,5.563451491696996,9.799819461700956,6.4208216229260096,40.77210917051367,60.6636706846161,12.13273413692322,0.0,23.97268592035911,0,4,0.0094433922558922,0.0061143943972226,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,4,0,0,4,0,0,5,0,1,0,6,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,1,0,23,3.0,1.626683585959614,12.617283950617283,-0.078059197726214,0.0758106923751095,-0.0717213114754098,-0.0001539408866995,-0.0313385307820215,-0.0114288548471665,0.1822239759362937,0.0133380932856312,0.2251842758206293,-0.0952861165671735,-0.0528622184014179,0.9396683673469384,1.1390444489189804,0.8357339452497367,0.8809961551197185,1.0846486404634157,1.0451091881249106,1.5096208149357548,0.7334458240310517,0.995231141550037,0.9496784336855676,0.2632971327899285,-2.516792063751216,0.0,11.114144225761647,0.4382022471910112,2.611098272666099,3.750943068671533,0.1851851851851851,16.690354475090988,9.799819461700956,0.0,17.413063506523546,54.59730361615449,0.0,0.0,28.76722310443093,0,4,0.0097897376543209,0.0063747576777879,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,4,0,0,4,0,0,6,0,1,0,6,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,6.3,1,0,25,5.0,1.5134230133788076,11.460306158775364,0.0325388591811689,0.0003045643082162,-0.0996306734453286,0.1495837784900285,-0.0387056751921663,-0.0322650793199909,0.34216197441473,0.0023639943172816,0.4511720820247154,-0.1271562156060689,0.0219522246094482,0.9542181069958848,1.0611328484779563,0.7891403214255305,0.9017701918469164,1.2270285162203518,0.925577646458845,1.3565159291269342,0.402176211326774,1.109370948232297,1.0540467304101262,0.2647690763831171,-1.7113200693312898,0.0,11.038581900124257,0.4219653179190751,2.7123989473367573,3.716536323730599,0.5660377358490569,5.563451491696996,9.799819461700956,0.0,45.85031121415548,72.79640482153933,0.0,0.0,23.97268592035911,0,4,0.0103300579491055,0.0058392292331686,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,4,0,0,4,0,0,5,0,0,0,6,0,0,29,0,2,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.91,1,0,22,3.0,1.5134230133788076,11.460306158775364,0.0325388591811689,0.0003045643082162,-0.0996306734453286,0.1495837784900285,-0.0387056751921663,-0.0322650793199909,0.34216197441473,0.0023639943172816,0.4511720820247154,-0.1271562156060689,0.0219522246094482,0.9542181069958848,1.0611328484779563,0.7891403214255305,0.9017701918469164,1.2270285162203518,0.925577646458845,1.3565159291269342,0.402176211326774,1.109370948232297,1.0540467304101262,0.2647690763831171,-1.7113200693312898,0.0,11.038581900124257,0.4219653179190751,2.7123989473367573,3.716536323730599,0.5660377358490569,5.563451491696996,9.799819461700956,0.0,45.85031121415548,72.79640482153933,0.0,0.0,23.97268592035911,0,4,0.0103300579491055,0.0058392292331686,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,4,0,0,4,0,0,5,0,0,0,6,0,0,29,0,2,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.24,1,0,23,3.0,1.5134230133788076,11.460306158775364,0.0325388591811689,0.0003045643082162,-0.0996306734453286,0.1495837784900285,-0.0387056751921663,-0.0322650793199909,0.34216197441473,0.0023639943172816,0.4511720820247154,-0.1271562156060689,0.0219522246094482,0.9542181069958848,1.0611328484779563,0.7891403214255305,0.9017701918469164,1.2270285162203518,0.925577646458845,1.3565159291269342,0.402176211326774,1.109370948232297,1.0540467304101262,0.2647690763831171,-1.7113200693312898,0.0,11.038581900124257,0.4219653179190751,2.7123989473367573,3.716536323730599,0.5660377358490569,5.563451491696996,9.799819461700956,0.0,45.85031121415548,72.79640482153933,0.0,0.0,23.97268592035911,0,4,0.0103300579491055,0.0058392292331686,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,4,0,0,4,0,0,5,0,0,0,6,0,0,29,0,2,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
