smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VR3_A,MATS3dv,MATS4d,MATS1s,MATS3m,MATS8m,MATS1v,MATS6v,MATS7are,MATS1i,MATS4i,GATS8d,GATS8m,GATS8v,GATS8p,GATS1i,GATS6i,GATS7i,SaaaC,AETA_beta_ns_d,IC2,CIC5,MIC5,PEOE_VSA8,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA10,JGI4,JGI8,JGI10,PetitjeanIndex,C1=CC=CC=C1,CC1=CC=C2CNCC2=C1,O=[SH]C1=CC=CC=C1,CCO,CN,COC,CC1=CC=C(O)C=N1,CSC1=CC=CC=C1,CC1=CC=C(C)C=C1,O=C1NCC2=CC=CC=C12,COC1=CC=C2CNCC2=C1,C=O,CC=O,CS(C)=O,N#CC1=CC=CC=C1,C1=CC=NC=C1,CC#N,O=S,O=CC1=CC=CC=C1,CC,COC1=CC=C(C)C=C1,CC(C)=O,CC1=CC=CC=N1,C#N,COC1=CC=C(C)N=C1,CNC,OC1=CC=C2CNCC2=C1,COC1=CC=CC=C1,NC1=CC=C(S)C=C1,N#CC1=CC=CC=C1O,O=C1NCC2=CC=C(S)C=C12,C1=CC=C(N2CC3=CC=CC=C3C2)C=C1,OC1=CC=C(C2=CC=CC=N2)N=C1,C1=CC=C(OC2=CC=CN=C2)C=C1,CC1=CC=C2CN(C)CC2=C1,NC1=CC=C(O)C=C1,OC1=CC=CN=C1,CS,FCF,OC1=CC=C(C2=CC=CC=C2)C=C1,CF,CNC1=CC=C(O)C=C1,CC1=CC=C2C(=O)NCC2=C1,CC1=CC=CC=C1,CC1=CC=CC(N)=C1,OC1=CC=CC=C1,CSC1=CC=C(N)C=C1,COC1=CC=CC(O)=C1,CNC1=CC=CC=C1,COC1=CC=C(N)C=C1,CC1=CC=C2CNC(=O)C2=C1,CCC1=CC=C(N)C=C1,C[SH]=O,FC1=CC=C(F)C(F)=C1,COC1=CC=CN=C1,CCC,CN1CC2=CC=C(O)C=C2C1,FCC1=CC=CC=C1,CC1=CC=CC=C1O,C1=CC=C(CC2=CC=CC=C2)C=C1,O=C1NCC2=CC(S)=CC=C12,CC1=CC=C(O)C=C1,CCC1=CC=CC(C)=C1,CCN,C,CO,O=CC1=CC=C2CNCC2=C1,CC(F)F,CCF,CCC1=CC=CC=C1
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.043,0.056,0.0495,0,0.555555556,0.310250922,0.139171337,0.683645344,0.388165398,0.730613579,0.544340551,0.568943097,0.437169871,0.31070515,0.077714338,0.465375759,0.310966288,0.045439593,0.430156612,0.664020013,0.673707568,0.378431554,0.497773804,0.588005641,0.297804484,0,0.375893911,0.119493411,0.378380644,0.228910183,0.716874622,0.244018624,0.271979808,0.712097725,0.0915416,0,0.091003871,0.51360223,0.038744753,0.267342603,1,4,1,0,0,6,0,0,0,1,4,0,5,5,0,0,0,0,0,5,7,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,7,2,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,30,0,1,0,0,2
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.022,0.022,0.022,0,0.228888889,0.310250922,0.139171337,0.683645344,0.388165398,0.730613579,0.544340551,0.568943097,0.437169871,0.31070515,0.077714338,0.465375759,0.310966288,0.045439593,0.430156612,0.664020013,0.673707568,0.378431554,0.497773804,0.588005641,0.297804484,0,0.375893911,0.119493411,0.378380644,0.228910183,0.716874622,0.244018624,0.271979808,0.712097725,0.0915416,0,0.091003871,0.51360223,0.038744753,0.267342603,1,4,1,0,0,6,0,0,0,1,4,0,5,5,0,0,0,0,0,5,7,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,7,2,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,30,0,1,0,0,2
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.014,0.014,0.014,0,0.266666667,0.310250922,0.139171337,0.683645344,0.388165398,0.730613579,0.544340551,0.568943097,0.437169871,0.31070515,0.077714338,0.465375759,0.310966288,0.045439593,0.430156612,0.664020013,0.673707568,0.378431554,0.497773804,0.588005641,0.297804484,0,0.375893911,0.119493411,0.378380644,0.228910183,0.716874622,0.244018624,0.271979808,0.712097725,0.0915416,0,0.091003871,0.51360223,0.038744753,0.267342603,1,4,1,0,0,6,0,0,0,1,4,0,5,5,0,0,0,0,0,5,7,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,7,2,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,30,0,1,0,0,2
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3cccc(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.0013,0.0013,0.0013,0,0.388888889,0.387813653,0.199457234,0.534170643,0.776158649,0.526579116,0.699866657,0.513569676,0.713491791,0.603469051,0.723967327,0.875784927,0.476838784,0.001685236,0.56164961,0.473924673,0.246526097,0.013775995,0.873771319,0.662962775,0.297804484,0,0.561371269,0.277901642,0.598260504,0,0.639970512,0.184728751,0,0.06241088,0,0,0.75,0.346638188,0.358254828,1,1,3,2,0,0,5,0,0,0,2,4,0,4,4,0,0,0,0,0,4,9,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,9,0,9,0,2,7,1,0,0,0,2,0,2,0,0,0,0,6,0,3,0,1,0,0,6,4,26,0,0,9,9,6
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,0.013,0.013,0.013,0,0.384444444,0.853190037,0.015273788,0.181779445,0.309914627,0.648220746,0.070123392,0,0.16088188,0.496508263,0.522951828,0.099523264,0.589895108,0.442524126,1,0.409060126,0.196887884,0.583059057,0.255641664,0.739410847,0.297804484,0,0,0.625904682,0,1,0.312890604,0.31862293,0.286168925,0.28483909,0.183083201,0,0,0.410048464,0.712506819,0,1,2,0,0,0,6,0,0,0,0,0,0,4,4,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,1,0,0,0,4,21,0,0,0,0,2
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0,0.510919714,0.775499225,0.627737773,0.650258947,0.745345268,0.704175756,0,0.471519397,0.599116551,0.380074667,0.549550831,0.456676895,1,1,0.397903594,0.119378504,0.376159122,0.997333282,1,0.118313709,0.235419854,0.181010708,0,0.099998331,0.069537056,0.142857143,0.356048863,0,0.106360699,0,0.978789305,0.27068764,0.637695455,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0,0.510919714,0.775499225,0.627737773,0.650258947,0.745345268,0.704175756,0,0.471519397,0.599116551,0.380074667,0.549550831,0.456676895,1,1,0.397903594,0.119378504,0.376159122,0.997333282,1,0.118313709,0.235419854,0.181010708,0,0.099998331,0.069537056,0.142857143,0.356048863,0,0.106360699,0,0.978789305,0.27068764,0.637695455,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0,0.510919714,0.775499225,0.627737773,0.650258947,0.745345268,0.704175756,0,0.471519397,0.599116551,0.380074667,0.549550831,0.456676895,1,1,0.397903594,0.119378504,0.376159122,0.997333282,1,0.118313709,0.235419854,0.181010708,0,0.099998331,0.069537056,0.142857143,0.356048863,0,0.106360699,0,0.978789305,0.27068764,0.637695455,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.135973701,0.717935929,0.866496478,0.207891265,0.169112996,0.51399587,0.79330965,0.32905488,0.701011194,0.714337711,0.288717243,0.356643778,0.602386648,0.590456005,0.763749967,0.370710497,0.371923204,0.434384298,0.290557187,0.709677419,0.342011818,0.187970891,0.417992302,0,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.452670772,0.244711146,0.869886007,1,3,0,4,0,1,0,0,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.135973701,0.717935929,0.866496478,0.207891265,0.169112996,0.51399587,0.79330965,0.32905488,0.701011194,0.714337711,0.288717243,0.356643778,0.602386648,0.590456005,0.763749967,0.370710497,0.371923204,0.434384298,0.290557187,0.709677419,0.342011818,0.187970891,0.417992302,0,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.452670772,0.244711146,0.869886007,1,3,0,4,0,1,0,0,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
