smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,AATS6p,MATS8m,MATS8i,GATS4s,GATS8m,GATS5are,GATS7are,ETA_shape_y,IC2,EState_VSA3,EState_VSA8,c1ccc(-c2ccccn2)cc1,COc1ccccn1,C,CN1CCCC1=O,CNc1ccc(O)cc1,Nc1cccc(O)c1,Cc1cccc(N)c1,Cc1ccccc1,Cc1cccc(-c2ccccc2)n1,CC1CCc2ccccc21,Cc1cc(-c2ccccc2)ccn1,CPc1ccccc1,CNC,Nc1cccc2c1CCC2,CCC1CCCCC1,NCCN,S,FCF,CC(C)=O,CN1CC=CC1=O,COc1ccc(N)cn1,Cc1cc(N)ccc1N,O=C1NCc2ccccc21,O=[SH]c1ccccc1,CN,CNc1ccccc1,c1ccccc1,NC=O,CNC=O,COc1ccc(N)cc1,c1ccc(Oc2ccccc2)cc1,Cc1ccc(N)c(C)c1,COc1ccccc1C,CS,Cc1ccc(O)c(C)c1,c1ccc2c(c1)Cc1cc3c(cc1O2)CNC3,O=C1CCCN1,Fc1ccccc1,c1ccc(N2Cc3ccccc3C2)cc1,CSc1ccccc1,COc1ccc2c(c1)CNC2,CC(C)C,N,NCc1ccccc1,Sc1ccccc1,c1ccc(Oc2ccccn2)cc1,c1ccc2c(c1)CNC2,Cc1ccc2c(c1)CN(C)C2,CCCC,CCCN,COc1ccc(O)cc1,O=C1NC(=O)c2ccccc21,c1ccc(Cc2ccccc2)cc1,Cc1ccccc1O,CSc1ccc(O)cc1,CC1CCCC(C)C1,Cc1ccnc(C)c1,CNc1ccc(N)cc1,Oc1ccccc1,Cc1ccc(N)cc1,CN1Cc2ccc(O)cc2C1,O=Cc1ccc2c(c1)CNC2,O=C1NCc2cc(O)ccc21,Cc1ccc(O)cc1,CCc1ccc2c(c1)CNC2,CNc1ccc(C)cc1,CCc1cccc(C)c1,Nc1cccnc1,CCNC,COc1cccc(N)c1,Oc1ccccn1,O=C1NCc2ccc(O)cc21,CCc1ccc(O)cc1,CNCN,COc1ccc(C)cc1,Oc1ccccc1-c1ccccc1,CCC,Cc1ccccn1,NCC=O,C=O,Cc1cc(N)ccc1O,O=CNc1ccccc1,Oc1ccc(S)cc1,Nc1ccc(O)cc1,O=C1C=CCN1c1ccccc1,CNc1ccc(S)cc1,Cc1cnc2ccccc2n1,CC(F)F
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccccc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.2,3.2,3.2,0,0.388888889,0.446546712,0.943907284,0.643053784,0.558853954,0.781216262,0.387685673,0.593023976,0.350869268,0.210366178,0.271733986,0.290533018,0,0,0,35,0,0,0,0,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,4,0,6,4,5,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,2.98,2.98,2.98,0,0.384444444,0.446546712,0.649719717,0.653109486,0.665389706,0.505100737,0.460127198,0.388516962,0.498459478,0.204778065,0.841593421,0.293777065,0.112057434,0,0,51,0,0,0,0,6,0,0,0,6,6,0,12,0,0,0,0,0,0,0,4,0,6,4,6,4,8,0,1,0,0,0,0,0,0,0,2,0,0,7,2,4,0,0,2,1,27,0,0,2,0,0,0,18,0,0,2,0,0,1,0,1,0,0,0,0,8,0,0,0,3,0,1,0,21,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O,3.69,3.69,3.69,0,0.388888889,0.25516955,0.782535085,0.829502851,0.56275052,0.63694979,0.171609202,0.869906826,0.42667036,0.482524517,0.134939554,0.151802382,0,0,0,23,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,3,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.7,3.55,0,0.555555556,0.25516955,0.71886349,0.615634439,0.41101758,0.524409174,0.302932798,0.752597278,0.586025335,0.376276625,0.375893911,0.355440229,0,0,0,30,0,0,0,2,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.5,3.5,3.5,0,0.228888889,0.25516955,0.71886349,0.615634439,0.41101758,0.524409174,0.302932798,0.752597278,0.586025335,0.376276625,0.375893911,0.355440229,0,0,0,30,0,0,0,2,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.3,3.3,3.3,0,0.266666667,0.25516955,0.71886349,0.615634439,0.41101758,0.524409174,0.302932798,0.752597278,0.586025335,0.376276625,0.375893911,0.355440229,0,0,0,30,0,0,0,2,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.4,3.4,0,0.384444444,0.25516955,0.793610143,0.73385915,0.462022598,0.762247501,0.218855423,0.724516314,0.355492773,0.441251156,0.308015015,0.151802382,0,0,0,30,0,0,0,2,7,0,0,0,0,6,0,0,0,0,0,1,0,0,0,4,0,6,4,4,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,6,0,4,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,4.8,9.5,6.3,0,0.388888889,0.382754324,0.608907144,0.905956441,0.587969391,0.671589015,0.167517439,0.60122061,0.132783468,0.389187275,0.282677088,0.399710622,0,0,0,29,0,4,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,2,1,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.91,3.91,3.91,0,0.382222222,0.25516955,0.608907144,0.905956441,0.587969391,0.671589015,0.167517439,0.60122061,0.132783468,0.389187275,0.282677088,0.399710622,0,0,0,29,0,4,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,2,1,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.24,3.24,3.24,0,0.384444444,0.25516955,0.608907144,0.905956441,0.587969391,0.671589015,0.167517439,0.60122061,0.132783468,0.389187275,0.282677088,0.399710622,0,0,0,29,0,4,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,4,4,4,8,2,1,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccccc8C7=O)cc6)cc5)c4)cc3)cc1)C2=O,3.1,3.2,3.15,0,0.388888889,0.446546712,0.633573455,0.743732965,0.644065274,0.888533062,0.278258624,0.500165081,0.181957011,0.316489173,0.381688892,0.69395867,0,0,0,49,0,4,0,0,9,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,6,4,7,4,8,2,2,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,2,0,0,0,0,0,4,0,0,1,0,2,0,0,2,0,8,0,0,0,2,0,2,0,2,0,0,7,0,4,0,2,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc3)cc1)C2=O,3.88,3.88,3.88,0,0.384444444,0.25516955,0.604224866,0.839301924,0.655870542,0.806315037,0.192614108,0.508314789,0.163077954,0.320502675,0.368276896,0.596957336,0,0,0,42,0,4,0,0,7,0,0,0,0,6,0,0,0,0,0,1,0,0,0,4,0,6,4,6,4,8,2,2,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,8,0,0,0,2,0,2,0,1,0,0,6,0,4,0,2,0,0,0,0
