smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VE1_A,AATS7d,AATS3v,AATS7v,AATS2p,AATS6p,AATS7p,AATS6i,AATS8i,ATSC6d,ATSC6m,ATSC1v,ATSC5v,ATSC3p,AATSC1s,AATSC3s,AATSC3se,MATS3dv,MATS2d,MATS5d,MATS3s,MATS3m,MATS8m,MATS6v,MATS3are,MATS7are,MATS1p,MATS3p,MATS4i,MATS7i,MATS8i,GATS2d,GATS4d,GATS5d,GATS6d,GATS3s,GATS4s,GATS3m,GATS4m,GATS6m,GATS8m,GATS2v,GATS5v,GATS4are,GATS5are,GATS6are,GATS7are,GATS4p,GATS5p,GATS8p,GATS7i,GATS8i,BCUTi-1l,C1SP3,Xc-6dv,AXp-3d,NssCH2,ETA_shape_p,ETA_shape_y,AETA_dBeta,IC1,IC2,CIC5,MIC5,PEOE_VSA7,PEOE_VSA9,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA7,EState_VSA8,EState_VSA10,MDEC-33,AMID_X,n6HRing,JGI3,JGI5,c1ccc(-c2ccccn2)cc1,CC,COc1ccccn1,CN1CCCC1=O,Cc1ccc(P)cc1,Cc1cccc(C)c1N,CNc1ccc(O)cc1,Cc1ccc(N)cc1O,Nc1cccc(O)c1,Cc1cccc(N)c1,Cc1ccccc1,Cc1cccc(-c2ccccc2)n1,NCN,CC1CCc2ccccc21,N#Cc1ccc(N)cc1,Cc1cc(-c2ccccc2)ccn1,Nc1cccc2c1CCC2,Nc1ccc(-c2ccccc2)cc1,NCCN,S,CC(C)=O,COc1ccc(S)cc1,COc1ccc(N)cn1,CC1CCCCC1,c1ccncc1,CN,CC=O,c1ccccc1,COc1ccc(N)cc1,Nc1cccc(P)c1,Cc1cc(C)c2c(c1)CCC2,COc1ccc2ccccc2c1,Nc1ccc(-c2ccccn2)cc1,CS,Cc1ccc(O)c(C)c1,c1ccc2c(c1)Cc1cc3c(cc1O2)CNC3,O=C1CCCN1,Cc1cc2c(cc1N)CCC2,CCC1CCC(N)CC1,Cc1cc(O)ccc1O,CSc1ccccc1,CC(C)C,C1CCC(CC2CCCCC2)CC1,NCc1ccccc1,CC1CCC(N)CC1,Sc1ccccc1,c1ccc(Oc2ccccn2)cc1,Nc1ccc(O)nc1,Cc1ccc2c(c1)CN(C)C2,CCN1Cc2ccccc2C1,O=C1CCCN1c1ccccc1,COc1ccc(O)cc1,CC(C)N,Nc1ccc2c(c1)CCC2,CCc1ccccc1,CSc1ccc(O)cc1,NC1CCCCC1,Cc1ccnc(C)c1,Cc1ccc2c(c1N)CCC2,Cc1cccc(-c2ccccc2)c1,Nc1ccc(N)cc1,Nc1cc(N)c2c(c1)CCC2,CNc1ccc(N)cc1,Cc1ccccc1N,Cc1ccc(-c2ccncc2)cc1,Cc1ccc(N)cc1,C1CCCCC1,Cc1cccc2c1CCC2,O=Cc1ccc2c(c1)CNC2,Oc1ccc(O)cc1,Cc1ccc(O)cc1,CCc1ccc2c(c1)CNC2,Nc1cccnc1,CCNC,COc1cccc(N)c1,Oc1ccccn1,c1ccc2c(c1)Cc1ccccc1-2,Cc1ccnc(-c2ccccc2)c1,CCc1ccc(O)cc1,CNCN,Oc1ccc2ccccc2c1,COc1ccc(C)cc1,Oc1ccccc1-c1ccccc1,Cc1c(N)ccc2c1CCC2,CCC,NC(N)=O,Cc1ccc2c(c1)CCC2,Cc1ccccn1,NCC=O,Nc1ccccc1,Oc1ccc(-c2ccncc2)cc1,C=O,Cc1cc(N)ccc1O,Cc1ccc(N)c2c1CCC2,O=CNc1ccccc1,Oc1ccc(S)cc1,Nc1ccc(O)cc1,Nc1ccc(-c2cnccn2)cc1,c1ccc2c(c1)CCC2,c1ccc2c(c1)Cc1ccccc1O2,CNc1ccc(S)cc1,Cc1cc(C)cc(C)c1
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccccc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.2,3.2,3.2,0,0.388888889,0.446546712,0.622773273,0.658565311,0.797008096,0.722984286,1,0.943907284,0.811744879,0.048917744,0.044107358,0.632708768,0.767485548,0.218085683,0.569706472,0.429104997,0.610955426,0.686581157,0.548017166,0.561879676,0.33112836,0.613988422,0.754358753,0.304315876,0.643053784,0.350946035,0.63582466,0.529448988,0.548490792,0.290618344,0.575645919,0.711576748,0.558853954,0.507233545,0.649644772,0.402403196,0.473947799,0.563538379,0.781216262,0.885298605,0.761890915,0.480215054,0.387685673,0.650174358,0.436103835,0.662486562,0.593023976,0.414883132,0.350869268,0.851710083,0.410371964,0.696417434,0.445237796,0.374741351,0.204053255,0,0.291920894,0.566659233,0,0.178773963,0.210366178,0.863090472,0.164455844,0.271733986,0.062013532,0.520738117,0.165930537,0.356069873,0.187429702,0.290533018,0.100964665,0,0,0.083412968,0.371992081,0,0,0.47299088,0.183713279,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,2.98,2.98,2.98,0,0.384444444,0.446546712,0.946354912,0.605039047,0.422975647,0.55079854,0.689343531,0.649719717,0.643822899,0.173428544,0.057009973,0.806547393,0.982861572,0.507830569,0.668629659,0.242594503,0.786564232,0.759016644,0.552431936,0.536967947,0.194409644,0.732842008,0.977522809,0.292037628,0.653109486,0.524774648,0.582688372,0.508106219,0.660268853,0.34043367,0.70784266,0.761617464,0.665389706,0.72600094,0.492543573,0.230929718,0.291983454,0.29466324,0.505100737,0.780632748,0.514062961,0.37423217,0.460127198,0.777752856,0.445736055,0.439748001,0.388516962,0.318686422,0.498459478,0.461731835,0.373058731,0.777680867,0.415977879,0.316627385,0.20404414,0,0.417543645,0.510914098,0.6,0.050108129,0.204778065,0.618698237,0.704180824,0.841593421,0.276932395,0.459267446,0.574373459,0.356069873,0.325979979,0.293777065,0.283876014,0.063933175,0.112057434,0.083412968,0.519696665,0,0,0.312961317,0.259335862,0,18,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,8,0,0,0,0,3,0,0,1,0,0,21,0,0,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O,3.69,3.69,3.69,0,0.388888889,0.25516955,0.307063671,0.72804531,0.798013445,0.776975153,0.670014814,0.782535085,0.713757765,0.153879677,0.200719098,0.632225893,0.653399581,0.041538764,0.679672321,0.627492911,0.749112057,0.527711307,0.442163987,0.448189359,0.349714172,0.565101495,0.499358049,0.534187327,0.829502851,0.183896503,0.427903515,0.386531031,0.202178587,0.254724993,0.596052926,0.464108809,0.56275052,0.389241267,0.504933968,0.492332308,0.451242024,0.538775397,0.63694979,0.317519772,0.520277607,0.63902097,0.171609202,0.591224945,0.32565349,0.579894385,0.869906826,0.431041206,0.42667036,0.398140935,0.193161221,0.46257754,0.528959337,0.371463693,0.993566378,0,0,0.566166466,0,0.302712633,0.482524517,0.763704297,0.134714237,0.134939554,0.104463271,0.356222064,0.142026648,0.356069873,0.187429702,0.151802382,0.100964665,0,0,0.083412968,0.297698426,0,0,0.559598383,0.323728313,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.7,3.55,0,0.555555556,0.25516955,0.327523073,0.537003803,0.672010094,0.566309621,0.628306328,0.71886349,0.600350571,0.088790511,0.03768785,0.564405083,0.669506197,0.109435026,0.681536208,0.517161697,0.78298512,0.596417827,0.511111794,0.4555177,0.292944726,0.503256213,0.592821998,0.398304965,0.615634439,0.315513336,0.501385204,0.209900534,0.336756616,0.183914544,0.555089275,0.710946101,0.41101758,0.487593964,0.503066688,0.479087765,0.5495725,0.470097026,0.524409174,0.426081017,0.432630594,0.553818034,0.302932798,0.677410417,0.3535592,0.4769868,0.752597278,0.380916514,0.586025335,0.356433399,0.201633443,0.658942402,0.414468954,0.432242309,0.993566106,0,0,0.64013779,0.1,0.186195821,0.376276625,0.794018999,0.317712745,0.375893911,0.094429696,0.378380644,0.235075525,0.356069873,0.144513645,0.355440229,0.165119549,0.063933175,0,0.083412968,0.321584772,0,0,0.467064155,0.278169595,0,7,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.5,3.5,3.5,0,0.228888889,0.25516955,0.327523073,0.537003803,0.672010094,0.566309621,0.628306328,0.71886349,0.600350571,0.088790511,0.03768785,0.564405083,0.669506197,0.109435026,0.681536208,0.517161697,0.78298512,0.596417827,0.511111794,0.4555177,0.292944726,0.503256213,0.592821998,0.398304965,0.615634439,0.315513336,0.501385204,0.209900534,0.336756616,0.183914544,0.555089275,0.710946101,0.41101758,0.487593964,0.503066688,0.479087765,0.5495725,0.470097026,0.524409174,0.426081017,0.432630594,0.553818034,0.302932798,0.677410417,0.3535592,0.4769868,0.752597278,0.380916514,0.586025335,0.356433399,0.201633443,0.658942402,0.414468954,0.432242309,0.993566106,0,0,0.64013779,0.1,0.186195821,0.376276625,0.794018999,0.317712745,0.375893911,0.094429696,0.378380644,0.235075525,0.356069873,0.144513645,0.355440229,0.165119549,0.063933175,0,0.083412968,0.321584772,0,0,0.467064155,0.278169595,0,7,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.3,3.3,3.3,0,0.266666667,0.25516955,0.327523073,0.537003803,0.672010094,0.566309621,0.628306328,0.71886349,0.600350571,0.088790511,0.03768785,0.564405083,0.669506197,0.109435026,0.681536208,0.517161697,0.78298512,0.596417827,0.511111794,0.4555177,0.292944726,0.503256213,0.592821998,0.398304965,0.615634439,0.315513336,0.501385204,0.209900534,0.336756616,0.183914544,0.555089275,0.710946101,0.41101758,0.487593964,0.503066688,0.479087765,0.5495725,0.470097026,0.524409174,0.426081017,0.432630594,0.553818034,0.302932798,0.677410417,0.3535592,0.4769868,0.752597278,0.380916514,0.586025335,0.356433399,0.201633443,0.658942402,0.414468954,0.432242309,0.993566106,0,0,0.64013779,0.1,0.186195821,0.376276625,0.794018999,0.317712745,0.375893911,0.094429696,0.378380644,0.235075525,0.356069873,0.144513645,0.355440229,0.165119549,0.063933175,0,0.083412968,0.321584772,0,0,0.467064155,0.278169595,0,7,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.4,3.4,0,0.384444444,0.25516955,0.422675716,0.632344254,0.780838791,0.759281499,0.69769303,0.793610143,0.700509844,0.063537193,0.035755404,0.596514828,0.648905367,0.089823179,0.65360869,0.568525344,0.739520736,0.585804075,0.478862979,0.424417928,0.27976845,0.57039721,0.582554243,0.517642261,0.73385915,0.297461036,0.478192299,0.583213103,0.32317961,0.251057542,0.548746951,0.709255251,0.462022598,0.449757907,0.516842795,0.449766615,0.513113011,0.520904057,0.762247501,0.33946254,0.562737788,0.586831014,0.218855423,0.631816274,0.359521191,0.668059015,0.724516314,0.491097878,0.355492773,0.352998258,0.209981011,0.607144932,0.418334263,0.394044873,0.99356609,0,0,0.644430618,0,0.268738849,0.441251156,0.818254604,0.124237273,0.308015015,0.077804014,0.449707499,0.165930537,0.356069873,0.280625532,0.151802382,0.100964665,0,0,0.166825936,0.386261098,0,0,0.456310069,0.293856008,0,7,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,4,0,0,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,4.8,9.5,6.3,0,0.388888889,0.382754324,0.23340705,0.485566282,0.711098488,0.490894784,0.60669885,0.608907144,0.480614089,0.143041783,0.23573219,0.658254483,0.594435923,0.043121106,0.626901047,0.643961925,0.724348246,0.534137977,0.372488339,0.309203921,0.267812566,0.52072815,0.48420321,0.433711659,0.905956441,0.166333488,0.296786991,0.808605565,0.147556015,0.380546052,0.649118242,0.510086865,0.587969391,0.450099005,0.574456,0.43681662,0.317399744,0.576671581,0.671589015,0.434284113,0.649060178,0.819282898,0.167517439,0.689798125,0.502227862,0.687552846,0.60122061,0.529233528,0.132783468,0.333413413,0.301150573,0.447566773,0.525531022,0.374518155,0.993566232,0,0,0.679255415,0,0.190675181,0.389187275,0.794018999,0.210186737,0.282677088,0.26970036,0.338295174,0.261546097,0.356069873,0.144513645,0.399710622,0.100964665,0,0,0.083412968,0.28414606,0,0,0.405394705,0.343675428,0,5,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,2,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.91,3.91,3.91,0,0.382222222,0.25516955,0.23340705,0.485566282,0.711098488,0.490894784,0.60669885,0.608907144,0.480614089,0.143041783,0.23573219,0.658254483,0.594435923,0.043121106,0.626901047,0.643961925,0.724348246,0.534137977,0.372488339,0.309203921,0.267812566,0.52072815,0.48420321,0.433711659,0.905956441,0.166333488,0.296786991,0.808605565,0.147556015,0.380546052,0.649118242,0.510086865,0.587969391,0.450099005,0.574456,0.43681662,0.317399744,0.576671581,0.671589015,0.434284113,0.649060178,0.819282898,0.167517439,0.689798125,0.502227862,0.687552846,0.60122061,0.529233528,0.132783468,0.333413413,0.301150573,0.447566773,0.525531022,0.374518155,0.993566232,0,0,0.679255415,0,0.190675181,0.389187275,0.794018999,0.210186737,0.282677088,0.26970036,0.338295174,0.261546097,0.356069873,0.144513645,0.399710622,0.100964665,0,0,0.083412968,0.28414606,0,0,0.405394705,0.343675428,0,5,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,2,0,0,0,0,0
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.24,3.24,3.24,0,0.384444444,0.25516955,0.23340705,0.485566282,0.711098488,0.490894784,0.60669885,0.608907144,0.480614089,0.143041783,0.23573219,0.658254483,0.594435923,0.043121106,0.626901047,0.643961925,0.724348246,0.534137977,0.372488339,0.309203921,0.267812566,0.52072815,0.48420321,0.433711659,0.905956441,0.166333488,0.296786991,0.808605565,0.147556015,0.380546052,0.649118242,0.510086865,0.587969391,0.450099005,0.574456,0.43681662,0.317399744,0.576671581,0.671589015,0.434284113,0.649060178,0.819282898,0.167517439,0.689798125,0.502227862,0.687552846,0.60122061,0.529233528,0.132783468,0.333413413,0.301150573,0.447566773,0.525531022,0.374518155,0.993566232,0,0,0.679255415,0,0.190675181,0.389187275,0.794018999,0.210186737,0.282677088,0.26970036,0.338295174,0.261546097,0.356069873,0.144513645,0.399710622,0.100964665,0,0,0.083412968,0.28414606,0,0,0.405394705,0.343675428,0,5,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,2,0,0,0,0,0
