smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VR3_A,AATS6p,AATS8i,ATSC6m,ATSC1are,ATSC3p,AATSC3s,AATSC8v,AATSC3se,MATS3dv,MATS1d,MATS7d,MATS6v,MATS1se,MATS3are,MATS7are,MATS1p,MATS6p,MATS5i,GATS3dv,GATS8dv,GATS2d,GATS5d,GATS4m,GATS7m,GATS8m,GATS2v,GATS4are,GATS5are,GATS6are,GATS2p,GATS4p,GATS5p,GATS8p,GATS4i,GATS6i,C1SP3,SsssN,ETA_shape_y,AETA_dBeta,PEOE_VSA7,SMR_VSA3,SlogP_VSA2,SlogP_VSA5,EState_VSA7,AMID_C,AMID_N,AMID_X,nFaRing,nFAHRing,TopoPSA,JGI3,mZagreb2
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccccc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.2,3.2,3.2,0,0.388888889,0.446546712,0.085583356,0.943907284,0.044107358,0.767485548,0.7364023,0.429104997,0.686581157,0.710499952,0.548017166,0.561879676,0.521853536,0.629955169,0.350946035,0.419959741,0.63582466,0.529448988,0.548490792,0.278632501,0.770991367,0.356476656,0.193934584,0.507233545,0.402403196,0.761890915,0.375878691,0.387685673,0.650174358,0.662486562,0.593023976,0.414883132,0.729338379,0.851710083,0.410371964,0.696417434,0.491200199,0.571451522,0,0.5804907,0.210366178,0.863090472,0.165930537,0,0.27640856,0.234730672,0,0.623020527,0.201699415,0,0,0.5,0.187668133,0.47299088,0.211791643
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,2.98,2.98,2.98,0,0.384444444,0.446546712,0.124247301,0.649719717,0.057009973,0.982861572,0.772441321,0.242594503,0.759016644,0.801490336,0.552431936,0.536967947,0.414423455,0.724415379,0.524774648,0.509623109,0.582688372,0.508106219,0.660268853,0.37619122,0.702715114,0.383125141,0.315529428,0.72600094,0.230929718,0.514062961,0.391289912,0.460127198,0.777752856,0.439748001,0.388516962,0.318686422,0.734231336,0.461731835,0.373058731,0.777680867,0.323592306,0.539469874,0,0.585900295,0.204778065,0.618698237,0.574373459,0,0.27640856,0.434555091,0.063933175,0.836046525,0.072277113,0,0,0.5,0.227080576,0.312961317,0.347452776
O=Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O,3.69,3.69,3.69,0,0.388888889,0.25516955,0.040946239,0.782535085,0.200719098,0.653399581,0.852507406,0.627492911,0.527711307,0.714166337,0.442163987,0.448189359,0.47973219,0.652429201,0.183896503,0.545987807,0.427903515,0.386531031,0.202178587,0.306047562,0.816615337,0.394960822,0.075779171,0.389241267,0.492332308,0.520277607,0.541203251,0.171609202,0.591224945,0.579894385,0.869906826,0.431041206,0.451533592,0.398140935,0.193161221,0.46257754,0.47940839,0.446443155,0,0.564396734,0.482524517,0.763704297,0.142026648,0,0.27640856,0.234730672,0,0.518477474,0.418513795,0,0,0.5,0.072889534,0.559598383,0.088151116
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.7,3.55,0,0.555555556,0.25516955,0.074625028,0.71886349,0.03768785,0.669506197,0.886171393,0.517161697,0.596417827,0.51590492,0.511111794,0.4555177,0.455203292,0.566303272,0.315513336,0.643767751,0.501385204,0.209900534,0.336756616,0.259710901,0.954540554,0.397653092,0.170988848,0.487593964,0.479087765,0.432630594,0.79677143,0.302932798,0.677410417,0.4769868,0.752597278,0.380916514,0.529558926,0.356433399,0.201633443,0.658942402,0.501773336,0.515743914,0,0.618984292,0.376276625,0.794018999,0.235075525,0,0.27640856,0.285161803,0.063933175,0.70206415,0.289410856,0,0,0.5,0.072889534,0.467064155,0.14997138
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.5,3.5,3.5,0,0.228888889,0.25516955,0.074625028,0.71886349,0.03768785,0.669506197,0.886171393,0.517161697,0.596417827,0.51590492,0.511111794,0.4555177,0.455203292,0.566303272,0.315513336,0.643767751,0.501385204,0.209900534,0.336756616,0.259710901,0.954540554,0.397653092,0.170988848,0.487593964,0.479087765,0.432630594,0.79677143,0.302932798,0.677410417,0.4769868,0.752597278,0.380916514,0.529558926,0.356433399,0.201633443,0.658942402,0.501773336,0.515743914,0,0.618984292,0.376276625,0.794018999,0.235075525,0,0.27640856,0.285161803,0.063933175,0.70206415,0.289410856,0,0,0.5,0.072889534,0.467064155,0.14997138
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.3,3.3,3.3,0,0.266666667,0.25516955,0.074625028,0.71886349,0.03768785,0.669506197,0.886171393,0.517161697,0.596417827,0.51590492,0.511111794,0.4555177,0.455203292,0.566303272,0.315513336,0.643767751,0.501385204,0.209900534,0.336756616,0.259710901,0.954540554,0.397653092,0.170988848,0.487593964,0.479087765,0.432630594,0.79677143,0.302932798,0.677410417,0.4769868,0.752597278,0.380916514,0.529558926,0.356433399,0.201633443,0.658942402,0.501773336,0.515743914,0,0.618984292,0.376276625,0.794018999,0.235075525,0,0.27640856,0.285161803,0.063933175,0.70206415,0.289410856,0,0,0.5,0.072889534,0.467064155,0.14997138
O=Cc1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.4,3.4,0,0.384444444,0.25516955,0.071136221,0.793610143,0.035755404,0.648905367,0.86469505,0.568525344,0.585804075,0.643127228,0.478862979,0.424417928,0.453460993,0.604549928,0.297461036,0.616566263,0.478192299,0.583213103,0.32317961,0.266088131,0.912325905,0.424582697,0.198694943,0.449757907,0.449766615,0.562737788,0.517969946,0.218855423,0.631816274,0.668059015,0.724516314,0.491097878,0.503473726,0.352998258,0.209981011,0.607144932,0.520737438,0.507190598,0,0.56397345,0.441251156,0.818254604,0.165930537,0,0.353332818,0.306892372,0,0.612706806,0.274633783,0,0,0.5,0.145779068,0.456310069,0.159129937
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,4.8,9.5,6.3,0,0.388888889,0.382754324,0.083905519,0.608907144,0.23573219,0.594435923,0.848253781,0.643961925,0.534137977,0.914374397,0.372488339,0.309203921,0.430591919,0.851320256,0.166333488,0.513979608,0.296786991,0.808605565,0.147556015,0.223670851,0.832026989,0.583288051,0.147920115,0.450099005,0.43681662,0.649060178,0.427504733,0.167517439,0.689798125,0.687552846,0.60122061,0.529233528,0.638112435,0.333413413,0.301150573,0.447566773,0.425837346,0.496459315,0,0.599553813,0.389187275,0.794018999,0.261546097,0,0.27640856,0.234730672,0,0.590156643,0.289030325,0,0,0.5,0.112301977,0.405394705,0.14997138
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.91,3.91,3.91,0,0.382222222,0.25516955,0.083905519,0.608907144,0.23573219,0.594435923,0.848253781,0.643961925,0.534137977,0.914374397,0.372488339,0.309203921,0.430591919,0.851320256,0.166333488,0.513979608,0.296786991,0.808605565,0.147556015,0.223670851,0.832026989,0.583288051,0.147920115,0.450099005,0.43681662,0.649060178,0.427504733,0.167517439,0.689798125,0.687552846,0.60122061,0.529233528,0.638112435,0.333413413,0.301150573,0.447566773,0.425837346,0.496459315,0,0.599553813,0.389187275,0.794018999,0.261546097,0,0.27640856,0.234730672,0,0.590156643,0.289030325,0,0,0.5,0.112301977,0.405394705,0.14997138
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.24,3.24,3.24,0,0.384444444,0.25516955,0.083905519,0.608907144,0.23573219,0.594435923,0.848253781,0.643961925,0.534137977,0.914374397,0.372488339,0.309203921,0.430591919,0.851320256,0.166333488,0.513979608,0.296786991,0.808605565,0.147556015,0.223670851,0.832026989,0.583288051,0.147920115,0.450099005,0.43681662,0.649060178,0.427504733,0.167517439,0.689798125,0.687552846,0.60122061,0.529233528,0.638112435,0.333413413,0.301150573,0.447566773,0.425837346,0.496459315,0,0.599553813,0.389187275,0.794018999,0.261546097,0,0.27640856,0.234730672,0,0.590156643,0.289030325,0,0,0.5,0.112301977,0.405394705,0.14997138
