smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccccc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.2,3.2,3.2,0,25,6
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,2.98,2.98,2.98,0,23,6
O=Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O,3.69,3.69,3.69,0,25,3
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.7,3.55,0,100,3
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.5,3.5,3.5,0,-47,3
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.3,3.3,3.3,0,-30,3
O=Cc1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.4,3.4,0,23,3
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,4.8,9.5,6.3,0,25,5
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.91,3.91,3.91,0,22,3
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.24,3.24,3.24,0,23,3
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccccc8C7=O)cc6)cc5)c4)cc3)cc1)C2=O,3.1,3.2,3.15,0,25,6
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc3)cc1)C2=O,3.88,3.88,3.88,0,23,3
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.87,3.87,3.87,0,22,3
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,3.75,3.75,3.75,0,22,6
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.684,3.13,2.907,0,23,3
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccccc4C3=O)cc1)C2=O,2.1,3.5,2.74,0,25,6
O=Cc1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.16,3.16,3.16,0,23,10
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.39,3.39,3.39,0,23,6
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3,3,3,0,23,3
O=Cc1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(NC(=O)Nc6ccc(Cc7ccc(NC(=O)Nc8ccc(C(=O)Nc9ccc(Oc%10ccc(NC(=O)c%11ccc(N%12C(=O)c%13ccccc%13C%12=O)cc%11)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc1)C2=O,3.17,3.19,3.18,0,23,6
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.47,3.47,3.47,0,22,3
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.42,3.42,3.42,0,22,6
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,2.68,3.169,2.9245,0,23,3
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccccc5)c3)C4=O)ccc21,3.2,3.2,3.2,0,25,6
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccc(Oc6ccc(C78CC9CC(CC(C9)C7)C8)cc6)cc5)c3)C4=O)ccc21,2.98,2.98,2.98,0,23,6
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,3.51,3.51,3.51,0,22,3
