smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,MATS3dv,MATS1s,MATS3m,MATS6v,MATS7are,MATS1i,GATS8m,GATS8v,GATS1i,GATS7i,SaaaC,AETA_beta_ns_d,IC2,MIC5,EState_VSA4,EState_VSA6,EState_VSA7,EState_VSA10,JGI10,CSC1=CC=CC=C1,COC1=CC=C2CNCC2=C1,CC(C)=O,CC1=CC=C2CN(C)CC2=C1,CC1=CC=CC(N)=C1,CCC1=CC=C(N)C=C1,CN1CC2=CC=C(O)C=C2C1,FCC1=CC=CC=C1,C1=CC=C(CC2=CC=CC=C2)C=C1,CC1=CC=C(O)C=C1
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.043,0.056,0.0495,0,0.555555556,0.310250922,0.683645344,0.730613579,0.544340551,0.31070515,0.077714338,0.465375759,0.430156612,0.664020013,0.378431554,0.588005641,0.297804484,0,0.375893911,0.378380644,0.244018624,0.712097725,0.0915416,0.091003871,0.267342603,0,0,0,1,2,0,0,0,1,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.022,0.022,0.022,0,0.228888889,0.310250922,0.683645344,0.730613579,0.544340551,0.31070515,0.077714338,0.465375759,0.430156612,0.664020013,0.378431554,0.588005641,0.297804484,0,0.375893911,0.378380644,0.244018624,0.712097725,0.0915416,0.091003871,0.267342603,0,0,0,1,2,0,0,0,1,0
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.014,0.014,0.014,0,0.266666667,0.310250922,0.683645344,0.730613579,0.544340551,0.31070515,0.077714338,0.465375759,0.430156612,0.664020013,0.378431554,0.588005641,0.297804484,0,0.375893911,0.378380644,0.244018624,0.712097725,0.0915416,0.091003871,0.267342603,0,0,0,1,2,0,0,0,1,0
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3cccc(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.0013,0.0013,0.0013,0,0.388888889,0.387813653,0.534170643,0.526579116,0.699866657,0.603469051,0.723967327,0.875784927,0.56164961,0.473924673,0.013775995,0.662962775,0.297804484,0,0.561371269,0.598260504,0.184728751,0.06241088,0,0.75,1,0,0,0,1,1,0,0,3,1,0
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,0.013,0.013,0.013,0,0.384444444,0.853190037,0.181779445,0.648220746,0.070123392,0.496508263,0.522951828,0.099523264,1,0.409060126,0.583059057,0.739410847,0.297804484,0,0,0,0.31862293,0.28483909,0.183083201,0,0,0,0,0,0,0,2,0,0,1,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.510919714,0.627737773,0.650258947,0,0.471519397,0.599116551,0.456676895,1,0.397903594,0.376159122,0.997333282,1,0.118313709,0.181010708,0.069537056,0.356048863,0,0,0.637695455,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.510919714,0.627737773,0.650258947,0,0.471519397,0.599116551,0.456676895,1,0.397903594,0.376159122,0.997333282,1,0.118313709,0.181010708,0.069537056,0.356048863,0,0,0.637695455,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.510919714,0.627737773,0.650258947,0,0.471519397,0.599116551,0.456676895,1,0.397903594,0.376159122,0.997333282,1,0.118313709,0.181010708,0.069537056,0.356048863,0,0,0.637695455,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.717935929,0.207891265,0.169112996,0.32905488,0.701011194,0.714337711,0.602386648,0.590456005,0.370710497,0.434384298,0.290557187,0.709677419,0.342011818,0.417992302,0.069537056,0.213629318,0,0.159776029,0.869886007,2,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.717935929,0.207891265,0.169112996,0.32905488,0.701011194,0.714337711,0.602386648,0.590456005,0.370710497,0.434384298,0.290557187,0.709677419,0.342011818,0.417992302,0.069537056,0.213629318,0,0.159776029,0.869886007,2,0,0,0,0,0,0,0,0,0
