smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VR3_A,AATS7d,AATS3i,MATS3dv,MATS5d,MATS7d,MATS3m,MATS6m,MATS1v,MATS7v,MATS7are,MATS7p,MATS1i,MATS3i,GATS8d,GATS3s,GATS7m,GATS8m,GATS5v,GATS6v,GATS7v,GATS8v,GATS7p,GATS8p,GATS1i,GATS7i,AXp-1d,SaaaC,MINdO,AETA_beta_ns_d,IC1,IC2,IC5,BIC0,MIC0,MIC5,PEOE_VSA8,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA10,AMID_N,JGI10,PetitjeanIndex,C1=CC=CC=C1,CN,COC1=CC=C2CNCC2=C1,C=O,CC=O,O=CC1=CC=CC=C1,COC1=CC=C(C)C=C1,CC(C)=O,OC1=CC=C2CNCC2=C1,NC1=CC=C(S)C=C1,N#CC1=CC=CC=C1O,CC1=CC=C2CN(C)CC2=C1,NC1=CC=C(O)C=C1,CC1=CC(C)=CC(C)=C1,C1=CC=C(C2=CC=C3CNCC3=C2)C=C1,O=C1NCC2=CC=C(O)C=C12,OC1=CC=C(C2=CC=CC=C2)C=C1,CC1=CC=CC(N)=C1,CC1=CC=C(O)C=C1C,O=C1NCC2=CC(O)=CC=C12,CSC1=CC=C(N)C=C1,COC1=CC=CC(O)=C1,COC1=CC=C(N)C=C1,CCC1=CC=C(O)C=C1,CCC1=CC=C(N)C=C1,CN1CC2=CC=C(O)C=C2C1,NC1=CC=CC=C1,CC1=CC=C(O)C=C1,O=CC1=CC=C2CNCC2=C1
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.043,0.056,0.0495,0,0.555555556,0.310250922,0.139171337,0.609917098,0.133623882,0.683645344,0,0.518264454,0.544340551,0.348300027,0.437169871,0.270987998,0.077714338,0.574459775,0.465375759,0.202242385,0.045439593,0.370620439,1,0.430156612,0.220607811,0.821732901,0.842408927,0.664020013,0.509876915,0.673707568,0.378431554,0.588005641,0.51934985,0.297804484,0,0,0.212794753,0.375893911,0.616302865,0.402975271,0.157737242,0.378380644,0.228910183,0.244018624,0.271979808,0.712097725,0.0915416,0,0.091003871,0.27119915,0.267342603,1,4,6,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.022,0.022,0.022,0,0.228888889,0.310250922,0.139171337,0.609917098,0.133623882,0.683645344,0,0.518264454,0.544340551,0.348300027,0.437169871,0.270987998,0.077714338,0.574459775,0.465375759,0.202242385,0.045439593,0.370620439,1,0.430156612,0.220607811,0.821732901,0.842408927,0.664020013,0.509876915,0.673707568,0.378431554,0.588005641,0.51934985,0.297804484,0,0,0.212794753,0.375893911,0.616302865,0.402975271,0.157737242,0.378380644,0.228910183,0.244018624,0.271979808,0.712097725,0.0915416,0,0.091003871,0.27119915,0.267342603,1,4,6,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,0.014,0.014,0.014,0,0.266666667,0.310250922,0.139171337,0.609917098,0.133623882,0.683645344,0,0.518264454,0.544340551,0.348300027,0.437169871,0.270987998,0.077714338,0.574459775,0.465375759,0.202242385,0.045439593,0.370620439,1,0.430156612,0.220607811,0.821732901,0.842408927,0.664020013,0.509876915,0.673707568,0.378431554,0.588005641,0.51934985,0.297804484,0,0,0.212794753,0.375893911,0.616302865,0.402975271,0.157737242,0.378380644,0.228910183,0.244018624,0.271979808,0.712097725,0.0915416,0,0.091003871,0.27119915,0.267342603,1,4,6,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1
O=C1NC(=O)c2cc(C(c3ccc4c(c3)C(=O)N(c3cccc(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.0013,0.0013,0.0013,0,0.388888889,0.387813653,0.199457234,0.725500129,0.711789192,0.534170643,0.981665682,0.248553699,0.699866657,0.261684917,0.713491791,0.37493154,0.723967327,0.443451462,0.875784927,0.315662623,0.001685236,0.413070957,0,0.56164961,0.459557206,0.510605096,0.228941655,0.473924673,0.49175948,0.246526097,0.013775995,0.662962775,0.304301332,0.297804484,0.364431833,0,0.667384665,0.561371269,0.449653036,1,1,0.598260504,0,0.184728751,0,0.06241088,0,0,0.75,0.187121542,1,1,3,5,0,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,0.013,0.013,0.013,0,0.384444444,0.853190037,0.015273788,0.574802611,0.542632163,0.181779445,0.524099437,0.61796747,0.070123392,0.29753042,0.16088188,0.892474174,0.522951828,0.61124027,0.099523264,0.79430416,0.442524126,0.876859333,0.216120913,1,0.890047643,0.950951295,0.433502936,0.409060126,0.559085215,0.196887884,0.583059057,0.739410847,0.703240347,0.297804484,0.313680206,0,0.043223543,0,0,0.671396242,0.257018849,0,1,0.31862293,0.286168925,0.28483909,0.183083201,0,0,0.467710702,0,1,2,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0,0.50274456,0.288901195,0.510919714,0.179901785,0.562618097,0.650258947,0.332075784,0.704175756,0.444422368,0.471519397,0.776581008,0.599116551,0.205212025,0.549550831,0.864214899,0.927333118,0.456676895,0,0.831422268,0.924798342,1,0.425985461,1,0.397903594,0.376159122,0.393662575,0.997333282,0.294463393,1,0.169404077,0.118313709,0.081852021,0.956168182,0.409880154,0.181010708,0,0.069537056,0.142857143,0.356048863,0,0.106360699,0,0.604024958,0.637695455,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0,0.50274456,0.288901195,0.510919714,0.179901785,0.562618097,0.650258947,0.332075784,0.704175756,0.444422368,0.471519397,0.776581008,0.599116551,0.205212025,0.549550831,0.864214899,0.927333118,0.456676895,0,0.831422268,0.924798342,1,0.425985461,1,0.397903594,0.376159122,0.393662575,0.997333282,0.294463393,1,0.169404077,0.118313709,0.081852021,0.956168182,0.409880154,0.181010708,0,0.069537056,0.142857143,0.356048863,0,0.106360699,0,0.604024958,0.637695455,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0,0.50274456,0.288901195,0.510919714,0.179901785,0.562618097,0.650258947,0.332075784,0.704175756,0.444422368,0.471519397,0.776581008,0.599116551,0.205212025,0.549550831,0.864214899,0.927333118,0.456676895,0,0.831422268,0.924798342,1,0.425985461,1,0.397903594,0.376159122,0.393662575,0.997333282,0.294463393,1,0.169404077,0.118313709,0.081852021,0.956168182,0.409880154,0.181010708,0,0.069537056,0.142857143,0.356048863,0,0.106360699,0,0.604024958,0.637695455,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.135973701,0.6903087,0.101197041,0.717935929,0.497053456,0.602560316,0.169112996,0.679612444,0.79330965,0.678625687,0.701011194,0.850864649,0.714337711,0.17629961,0.356643778,0.692984872,0.271312253,0.602386648,0.172503552,0.667157284,0.338814797,0.590456005,0.026762082,0.763749967,0.370710497,0.434384298,0.377942349,0.290557187,0.412133291,0.709677419,0.382952106,0.342011818,0.382293997,0.865160857,0.777350495,0.417992302,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.343953446,0.869886007,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.135973701,0.6903087,0.101197041,0.717935929,0.497053456,0.602560316,0.169112996,0.679612444,0.79330965,0.678625687,0.701011194,0.850864649,0.714337711,0.17629961,0.356643778,0.692984872,0.271312253,0.602386648,0.172503552,0.667157284,0.338814797,0.590456005,0.026762082,0.763749967,0.370710497,0.434384298,0.377942349,0.290557187,0.412133291,0.709677419,0.382952106,0.342011818,0.382293997,0.865160857,0.777350495,0.417992302,0,0.069537056,0.571428571,0.213629318,0,0.106360699,0.159776029,0.343953446,0.869886007,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
