smile,value_min,value_max,value_mean,labled,Temperature,Frequency,VR3_A,AATS7v,AATS2p,AATS6p,ATSC6m,ATSC1are,MATS3dv,MATS3m,MATS8m,MATS1se,MATS3are,MATS1p,GATS4d,GATS7d,GATS7m,GATS5are,GATS6are,GATS2p,GATS4p,GATS8p,GATS6i,BCUTm-1l,BCUTi-1l,SddssS,ETA_shape_p,AETA_beta_ns_d,ETA_dBeta,IC1,BIC2,PEOE_VSA7,PEOE_VSA9,SMR_VSA3,SlogP_VSA2,EState_VSA3,EState_VSA4,EState_VSA7,EState_VSA10,MDEO-11,AMID_N,n6HRing,n10FRing,nFAHRing,TopoPSA,JGI3,JGI8
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccccc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.2,3.2,3.2,0,0.388888889,0.446546712,0.085583356,0.722984286,1,0.943907284,0.767485548,0.7364023,0.561879676,0.304315876,0.643053784,0.419959741,0.63582466,0.548490792,0.649644772,0.449221335,0.375878691,0.593023976,0.414883132,0.729338379,0.851710083,0.696417434,0.571451522,0.853539011,0.204053255,1,0.178773963,0,0.553333333,0.164455844,0.2606998,0.165930537,0.356069873,0,0.27640856,0.290533018,0.100964665,0,0.083412968,0.579600686,0.201699415,0,0,0.5,0.187668133,0.47299088,0.49002618
O=Cc1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,2.98,2.98,2.98,0,0.384444444,0.446546712,0.124247301,0.55079854,0.689343531,0.649719717,0.982861572,0.772441321,0.536967947,0.292037628,0.653109486,0.509623109,0.582688372,0.660268853,0.492543573,0.380033648,0.391289912,0.388516962,0.318686422,0.734231336,0.461731835,0.777680867,0.539469874,0.853535003,0.20404414,1,0.050108129,0.086065574,0.433333333,0.704180824,0.600662328,0.574373459,0.356069873,0,0.27640856,0.293777065,0.283876014,0.063933175,0.083412968,0.579600686,0.072277113,0,0.5,0.5,0.227080576,0.312961317,0.453315089
O=Cc1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O,3.69,3.69,3.69,0,0.388888889,0.25516955,0.040946239,0.776975153,0.670014814,0.782535085,0.653399581,0.852507406,0.448189359,0.534187327,0.829502851,0.545987807,0.427903515,0.202178587,0.504933968,0.443943976,0.541203251,0.869906826,0.431041206,0.451533592,0.398140935,0.46257754,0.446443155,0.853541866,0.993566378,1,0.302712633,0,0.413333333,0.134714237,0.403973828,0.142026648,0.356069873,0,0.27640856,0.151802382,0.100964665,0,0.083412968,0.41267784,0.418513795,0,0,0.5,0.072889534,0.559598383,0.516527332
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.7,3.55,0,0.555555556,0.25516955,0.074625028,0.566309621,0.628306328,0.71886349,0.669506197,0.886171393,0.4555177,0.398304965,0.615634439,0.643767751,0.501385204,0.336756616,0.503066688,0.523182806,0.79677143,0.752597278,0.380916514,0.529558926,0.356433399,0.658942402,0.515743914,0.853538855,0.993566106,1,0.186195821,0,0.466666667,0.317712745,0.496911925,0.235075525,0.356069873,0,0.27640856,0.355440229,0.165119549,0.063933175,0.083412968,0.291368749,0.289410856,0,0,0.5,0.072889534,0.467064155,0.325979708
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.5,3.5,3.5,0,0.228888889,0.25516955,0.074625028,0.566309621,0.628306328,0.71886349,0.669506197,0.886171393,0.4555177,0.398304965,0.615634439,0.643767751,0.501385204,0.336756616,0.503066688,0.523182806,0.79677143,0.752597278,0.380916514,0.529558926,0.356433399,0.658942402,0.515743914,0.853538855,0.993566106,1,0.186195821,0,0.466666667,0.317712745,0.496911925,0.235075525,0.356069873,0,0.27640856,0.355440229,0.165119549,0.063933175,0.083412968,0.291368749,0.289410856,0,0,0.5,0.072889534,0.467064155,0.325979708
O=Cc1ccc2c(c1)C(=O)N(c1cccc(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.3,3.3,3.3,0,0.266666667,0.25516955,0.074625028,0.566309621,0.628306328,0.71886349,0.669506197,0.886171393,0.4555177,0.398304965,0.615634439,0.643767751,0.501385204,0.336756616,0.503066688,0.523182806,0.79677143,0.752597278,0.380916514,0.529558926,0.356433399,0.658942402,0.515743914,0.853538855,0.993566106,1,0.186195821,0,0.466666667,0.317712745,0.496911925,0.235075525,0.356069873,0,0.27640856,0.355440229,0.165119549,0.063933175,0.083412968,0.291368749,0.289410856,0,0,0.5,0.072889534,0.467064155,0.325979708
O=Cc1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccccc5C4=O)c3)c1)C2=O,3.4,3.4,3.4,0,0.384444444,0.25516955,0.071136221,0.759281499,0.69769303,0.793610143,0.648905367,0.86469505,0.424417928,0.517642261,0.73385915,0.616566263,0.478192299,0.32317961,0.516842795,0.457441846,0.517969946,0.724516314,0.491097878,0.503473726,0.352998258,0.607144932,0.507190598,0.853538701,0.99356609,1,0.268738849,0,0.486666667,0.124237273,0.421087089,0.165930537,0.356069873,0,0.353332818,0.151802382,0.100964665,0,0.166825936,0.579600686,0.274633783,0,0,0.5,0.145779068,0.456310069,0.358979105
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,4.8,9.5,6.3,0,0.388888889,0.382754324,0.083905519,0.490894784,0.60669885,0.608907144,0.594435923,0.848253781,0.309203921,0.433711659,0.905956441,0.513979608,0.296786991,0.147556015,0.574456,0.031002647,0.427504733,0.60122061,0.529233528,0.638112435,0.333413413,0.447566773,0.496459315,0.853540434,0.993566232,1,0.190675181,0.141891892,0.466666667,0.210186737,0.411419099,0.261546097,0.356069873,0,0.27640856,0.399710622,0.100964665,0,0.083412968,0.251042677,0.289030325,0,0,0.5,0.112301977,0.405394705,0.41046021
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.91,3.91,3.91,0,0.382222222,0.25516955,0.083905519,0.490894784,0.60669885,0.608907144,0.594435923,0.848253781,0.309203921,0.433711659,0.905956441,0.513979608,0.296786991,0.147556015,0.574456,0.031002647,0.427504733,0.60122061,0.529233528,0.638112435,0.333413413,0.447566773,0.496459315,0.853540434,0.993566232,1,0.190675181,0.141891892,0.466666667,0.210186737,0.411419099,0.261546097,0.356069873,0,0.27640856,0.399710622,0.100964665,0,0.083412968,0.251042677,0.289030325,0,0,0.5,0.112301977,0.405394705,0.41046021
O=Cc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3.24,3.24,3.24,0,0.384444444,0.25516955,0.083905519,0.490894784,0.60669885,0.608907144,0.594435923,0.848253781,0.309203921,0.433711659,0.905956441,0.513979608,0.296786991,0.147556015,0.574456,0.031002647,0.427504733,0.60122061,0.529233528,0.638112435,0.333413413,0.447566773,0.496459315,0.853540434,0.993566232,1,0.190675181,0.141891892,0.466666667,0.210186737,0.411419099,0.261546097,0.356069873,0,0.27640856,0.399710622,0.100964665,0,0.083412968,0.251042677,0.289030325,0,0,0.5,0.112301977,0.405394705,0.41046021
