smile,tg_min,tg_max,tg_mean,VR3_A,nS,ATS8i,AATS6Z,AATS3v,AATS7v,AATS3are,AATS6are,AATS1p,AATS1i,AATS3i,AATS4i,ATSC7d,ATSC7v,ATSC3i,MATS1dv,MATS2dv,MATS1d,MATS2d,MATS3d,MATS4d,MATS3s,MATS5s,MATS8m,MATS4are,MATS5p,MATS6p,MATS7p,GATS2d,GATS5d,GATS1s,GATS2s,GATS4s,GATS5s,GATS4m,GATS5v,GATS1are,GATS3are,GATS7are,GATS3p,GATS5i,BCUTm-1h,C1SP3,Xc-5d,AXp-1d,Xp-7dv,AXp-0dv,NssCH2,NddssS,SdO,SssO,ETA_shape_y,ETA_beta_ns_d,AETA_beta_ns_d,AETA_eta,AETA_eta_F,ETA_dAlpha_B,ETA_dEpsilon_C,IC2,PEOE_VSA1,PEOE_VSA8,SMR_VSA3,SMR_VSA6,SlogP_VSA2,SlogP_VSA10,SlogP_VSA11,EState_VSA4,EState_VSA5,VSA_EState8,MDEO-11,AMID_O,n6ARing,RotRatio,JGI3,JGI4,JGI6,JGI7,c1c(C)cc(C2(c3cc(C)cc(C)c3)c3ccccc3-c3ccccc32)cc1C,c1cc(Cl)ccc1Cl,C1CC(=O)NC1=O,c1cc(C)cc2ccccc12,c1cccc(P(=O)(c2ccccc2)c2ccccc2)c1,N1C(=O)CC(C2C=C(C)C3C(=O)NC(=O)C3C2)C1=O,C1CCCCC1,OC=O,N1C(=O)N(C=O)C(=O)C1,CCCCCCC,N1C(=O)C2ON(C)CC2C1=O,c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(=O)(=O)c4ccccc4)cc3)cc2)cc1,N1C(=O)C(c2ccccc2)=C(c2ccc(C3=C(c4ccccc4)C(=O)NC3=O)cc2)C1=O,c1cccc(S(=O)(=O)O[Na])c1,C(C)(C)CCCCCCCCC(C)C,C(F)(F)F,CCCCCCCCCCCCCC,c1ccc2c(c1)Sc1ccccc1S2,C1CC(C)CC(C)(C)C1,CCCCCCCCCCCCCCCC,c1cc2c(cc1C)-c1cc(C)ccc1S2(=O)=O,n1c(=O)c2cc3c(=O)n(C)c(=O)c3cc2c1=O,c1ccc(C2(c3ccccc3)NC(=O)c3ccccc32)cc1,CC(C)CCCC,C1CC(C)(C)CC(C)(C)C1,N,c1cc2ccccc2c2c1C(=O)NC2=O,CCC[Si](C)(C)O[Si](C)(C)CCC,N1C(=O)C2C3C=CC(O3)C2C1=O,CCCCCCCCC,CCCCC,c1cccc(P(=O)(c2ccccc2)c2cc(C)cc(C)c2)c1,C1OCCO1,CCCCCCCCCCC,CCCC,c1cnc(C#N)c(C#N)n1,C(C#N)S(C)(=O)=O,c1ccc2[nH]cnc2c1,C(=O)CCCCCCCCCCCCCCCCCCCCC=O,c1ccc2c3c(cccc13)C(=O)N(C)C2=O,c1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccccc21,c1ncncn1,C(C)(C)CCCCC(C)C,CC#C,N1C(=O)c2cc3c(cc2C1=O)C(C)(C)c1cc2c(cc1O3)C(=O)NC2=O,CCCCCCCCCC,N(C=CC)C=CC,N1C(=O)C2OC3C(=O)NC(=O)C3C2C1=O,c1ccc2c(C)cc(=O)oc2c1,c1ccc(C)cc1C,C1CCCCCCCCCCC1,c1c(C)cccc1C,c1ccc2c(c1)C(=O)N(N1C(=O)c3ccccc3C1=O)C2=O,CCCCCCCC,c1nc2ccccc2[nH]1,c1ccc2c(c1)-c1ccccc1C2c1ccc(N)cc1,CCCC#N,c1ccc(C)c(C)c1,c1cccc(P(=O)(c2ccc(C)cc2)c2ccccc2)c1,c1cnc2ccccc2n1,O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,N1C(=O)N(C=O)C(=O)C1(C)C,C(=O)C1=C(C)NC(=S)N(C=O)C1,O[Si](C)(C)C,N1C(=O)NC(=O)C1=O,CC(C)CCC,c1c(C)c(C)cc(C)c1C,c1nc2ccccc2oc1=O,c1cc(C2(c3cccc(C)c3)c3ccccc3-c3ccccc32)cc(C)c1,CO,n1ncc2ccccc2c1=O,CC(C)CCCCCCCCCCCC,N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)NC4=O)cc2C1=O,c1ccc(N=Nc2ccc(C)cc2)cc1,c1ccc(N=Nc2ccc(C#N)cc2)cc1,CCCl,c1c[nH]cn1,CC(C)(C)C,N1C(=O)c2ccc(C#Cc3ccccc3)cc2C1=O,c1ccc(N=Nc2ccccc2)cc1,ON1C(=O)c2ccccc2C1=O,N1C(=O)C2CN(C)OC2C1=O,n1c(=O)c2cc3c(=O)[nH]c(=O)c3cc2c1=O,c1cc2c(cc1)C(=O)NC2=O
O=COCCN(CCOC(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O)c1ccc(/N=N/c2ccc(F)cc2)cc1,168.0,168.0,168.0,0.328574072855043,0.0,0.2065903566153109,0.273460347400248,0.5461977284054799,0.4456056247371223,0.5507107844711485,0.441638560496119,0.2917747908041626,0.528675357662209,0.5480452737256396,0.4746252172181098,0.4888645252196553,0.5263939417891972,0.63629697441899,0.4966451978941112,0.2194978719182984,0.3982090469284219,0.4460956933298379,0.3343690946349317,0.5201516471816323,0.4190846035367686,0.3958889413950616,0.5715590040239767,0.1931867558958048,0.8590540536629766,0.428793687538236,0.5208900860633577,0.2292209396276329,0.302753869689917,0.2308713434209799,0.6328513277627112,0.6537552844744511,0.5332460513514405,0.5442492111025499,0.3129189688203566,0.1595762725681555,0.2837391127201036,0.2704000092374103,0.3219501387798616,0.0136212173204925,0.046760393040703,0.2857142857142857,0.1532665351679622,0.3890274324220533,0.1455247472036756,0.2348322197618939,0.1176470588235294,0.0,0.248754311598308,0.2462786756589383,0.4660144694228648,0.2352941176470588,0.4592592592592592,0.2293166815021706,0.5531916727875681,0.5561865101899186,0.6063195956702421,0.6683384731135567,0.2763733663539523,0.0663741408747417,0.0,0.5819350496954718,0.5454311488596393,0.4351766797651624,0.0,0.0843774266140915,0.4005719218741841,0.0445872070356151,0.2311546020199034,0.510595728479698,0.0,0.4048143486469476,0.3164800047372305,0.2652753557968149,0.2402707060576073,0.3258573608111731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COCCCCCCCCCCCCOC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,105.0,105.0,105.0,0.4442268517689023,0.0,0.2126512619809746,0.1175603533992365,0.3117840402352468,0.1982819795917376,0.2602741062408715,0.2716758085335167,0.2337717170992095,0.4190263744384932,0.5782377501396034,0.5150438277542699,0.5818325946971874,0.5507009166034617,0.6617573299850703,0.6613834368366507,0.6300363678534221,0.4991507806285696,0.7169387337972969,0.6629578791977782,0.6831350949290854,0.6440033958517177,0.4744610133586479,0.6616940679796173,0.3580302585991625,0.8335617426652944,0.4160372144522863,0.5737968598994453,0.1145196509966809,0.2784056285841938,0.1774911351824128,0.483774029161089,0.5930236005954873,0.625647313170516,0.3653879875665802,0.2969341435174084,0.2098222797690772,0.1828523177694264,0.1365086142956666,0.301293495680958,0.1710126453276416,0.000117717721945,0.1428571428571428,0.136429407258485,0.5163618861979868,0.1734923660003139,0.4016780955642818,0.3529411764705882,0.0,0.237861196690803,0.3807485705529669,0.2855743404381655,0.0588235294117647,0.1169811320754712,0.3659878852375837,0.378373509890918,0.4704766802738603,0.7082867753336142,0.4822866839362287,0.2732383358174856,0.0,0.0,0.3266202194030749,0.4113304940492909,0.150790005613641,0.1666666666666666,0.2982649332050309,0.2248770122725136,0.0633208886694122,0.1386429440740952,0.6221172496224291,0.0,0.6655346021136694,0.3437859050042484,0.3202827623708543,0.2500078015919313,0.290611225131587,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2c1,246.0,246.0,246.0,0.1638546129156775,0.0,0.1336297065501104,0.3061694415052871,0.6916866527465754,0.5027209153919365,0.5643996223263517,0.4710637115898821,0.3884795489990922,0.2529080306410645,0.2580342579937946,0.302027624165297,0.5623411145782072,0.5302407339865095,0.5822517858628926,0.4525061228494149,0.2187715329040363,0.3512417681057808,0.3487316010273806,0.2121434616240026,0.3396749253194483,0.3964945298801097,0.2681499874228666,0.8035536012642334,0.1953723221507634,0.8207655596902392,0.3105768598817184,0.5392468677791816,0.2215866002638685,0.4024117857236268,0.2744671734415951,0.5850251699127749,0.6296040067125092,0.8303601941803351,0.555525657597429,0.3715036567657837,0.2132380330235795,0.3463793749302106,0.1352622685437113,0.3705644572403571,0.1650154939177807,0.00011775691276,0.0,0.1532665351679622,0.2478159829107902,0.1488781285567036,0.1886495831781824,0.0,0.0,0.2435614739272174,0.387648688358159,0.6094124830985305,0.1764705882352941,0.3647058823529409,0.133717619755187,0.5628907357823671,0.488926746166951,0.6657882719737287,0.463163711564144,0.2732383358174856,0.0,0.0,0.139083910938487,0.2759568998700706,0.150790005613641,0.3333333333333333,0.0827366348490955,0.1092468877838684,0.0231393475579002,0.165977100822335,0.6595796516167501,0.0,0.2197434951498448,0.3591980781211047,0.5754998292803241,0.3393090712792502,0.3957865532889193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,140.0,140.0,140.0,0.6609805425030476,0.25,0.29900254313428,0.1550400453744308,0.3834730474242401,0.2879170537620472,0.316790190612608,0.2569452268014194,0.3129353870478775,0.3300297705520201,0.4993727546575455,0.4517820503673562,0.6010002557714668,0.6002706768756539,0.6352151505396947,0.5238199876864038,0.5694360899027372,0.4146184421270221,0.5601435970308855,0.542118023014478,0.629126961754484,0.6600420487139582,0.4700197976518107,0.797202571726098,0.2872702916708017,0.820203067102142,0.4932420130152333,0.5954265741825713,0.1830722342693761,0.2079593282773392,0.4243921020393555,0.5562977828759075,0.6821616735510835,0.6249108827932595,0.516049149004846,0.3092050156393875,0.2062972878556777,0.240056346001081,0.1510565715876725,0.3745744179824605,0.1990496165134595,0.251264936442668,0.1428571428571428,0.2621034408818954,0.4468018945157146,0.3012477625995714,0.4202161076410737,0.3529411764705882,0.3333333333333333,0.3980197546408712,0.5204470334277528,0.2382560039897475,0.2352941176470588,0.3594202898550727,0.3812678608387705,0.5008976309303228,0.3968101128311497,0.7091930577020598,0.5926005814537771,0.3643177810899808,0.0,0.0,0.3266202194030749,0.4975699212829227,0.150790005613641,0.3333333333333333,0.259625568042109,0.5932887960219265,0.0788588179713342,0.3601445884842319,0.642792612737345,0.0,0.6068778775131662,0.2744268438940535,0.320627152437919,0.2508338599428531,0.4049360208383785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,125.0,125.0,125.0,0.647218856034478,0.0,0.2992957348938059,0.1074595155023463,0.3423585514322652,0.2377745917766107,0.2578220793932497,0.2309076939394927,0.2650042767380791,0.3562440619367493,0.5126365140797606,0.4595079601863947,0.560993339326672,0.5458773747556127,0.6343871302849664,0.6348183419192692,0.5092940974758973,0.4315867268119041,0.5581637494096715,0.5790416862305057,0.6344617059598057,0.6231623476108077,0.567156437829336,0.5985600647908486,0.3940226225360385,0.8371590293080591,0.4443969657664499,0.5706199534685649,0.1974525454463318,0.2762173853331892,0.217408053551003,0.5144131017599607,0.4859260207878449,0.5859343940186272,0.3971946685807379,0.2927251536989266,0.2309292795499438,0.2561487757604853,0.1332766747178249,0.3248573079842803,0.199946225747346,0.0001284939158553,0.1428571428571428,0.136429407258485,0.4703785232213544,0.2333556335737867,0.4014044826773375,0.3823529411764705,0.0,0.2448654184170964,0.522069296085684,0.2698689104553821,0.2352941176470588,0.3701492537313434,0.3877072834499351,0.4359352645885345,0.4086551908261097,0.7752798636612797,0.5926005814537769,0.3643177810899808,0.0,0.0,0.3266202194030749,0.4113304940492909,0.150790005613641,0.3333333333333333,0.2585695519100797,0.3699206711152026,0.0808569279157748,0.1148989072705178,0.5336596545843987,0.0,0.6261034476893508,0.1910615871248496,0.3586753670473085,0.2034157111729999,0.2567214830010887,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc2)C3=O)cc1,230.0,230.0,230.0,0.211280190423465,0.0,0.1424209843397628,0.2644232477892589,0.6469998155073725,0.4276282996034326,0.6063731688196374,0.4099313145691114,0.3616984248114159,0.2837898227412498,0.3260800934864623,0.3294442470357257,0.5971970296425547,0.541020908554369,0.5915908505706746,0.4619632607602478,0.2201019677126113,0.3305266505396245,0.3466534709655465,0.2449059601613723,0.2968875732051433,0.3744523944784846,0.309744563198669,0.8585124122349836,0.0846269103125254,0.7954098090153615,0.247583233313714,0.5356681500551143,0.2240932346895365,0.4011221566977322,0.3183026768205852,0.6279200049786708,0.7020905894013868,0.814415596072293,0.6012567586585582,0.4173449454953764,0.252765580068055,0.445225276737525,0.0493420807763391,0.3570478070315498,0.1562758598226709,0.000127980669845,0.0,0.136429407258485,0.2952180623430465,0.1399569198556967,0.1905013379476656,0.0,0.0,0.2399793803717463,0.5206479087322945,0.5366709400231092,0.2352941176470588,0.4592592592592592,0.1317626447968729,0.5639353170716177,0.5070351441731349,0.6583694127238855,0.3526552599766852,0.3643177810899808,0.0,0.0,0.139083910938487,0.2759568998700706,0.150790005613641,0.5,0.0533913968430339,0.2549094048290263,0.0213664311109887,0.1393086992155683,0.709745846583439,0.0,0.2808653756873586,0.3183785857765138,0.5504449058282678,0.3412766340919057,0.4106701049532775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc2)C3=O)cc1,215.0,215.0,215.0,0.1539793335396508,0.0,0.115698204393712,0.2931392435071491,0.6733123755126705,0.4703750896232368,0.6128230240151775,0.4656041745658439,0.364848019650865,0.2983414553155743,0.3088817350312105,0.3386243151247514,0.5744218220920065,0.5230683422441547,0.586366238140391,0.4536509509248956,0.2441578950695004,0.3572087230098401,0.3816366736709287,0.2152627459110808,0.3098171079754781,0.3864749708764114,0.2520602517340854,0.9110886627155356,0.1046363108367403,0.8264746653733728,0.2808462174514348,0.5346433048168643,0.2078546204999433,0.4169996236114169,0.291764393902475,0.6198759316177069,0.6868580536794763,0.858631516663066,0.5837703494516671,0.3899381010982259,0.2298198915833669,0.3727016078316052,0.0277718398630765,0.3724557834875869,0.1395068662062468,0.0001175909483145,0.0,0.136429407258485,0.2939394555373074,0.12138470568321,0.1772741315716093,0.0,0.0,0.2386319839578113,0.3779649212111596,0.5824561642196638,0.1764705882352941,0.3957446808510632,0.1062930419870141,0.5404105521325815,0.5305375330747779,0.6214655422178139,0.3914749112253484,0.2732383358174856,0.0,0.0,0.139083910938487,0.2759568998700706,0.150790005613641,0.3333333333333333,0.0533913968430339,0.2549094048290263,0.0212645724690862,0.1713143854134476,0.7298588121664285,0.0,0.2503295059192325,0.38958385055785,0.5626803864976792,0.327025274820616,0.4364521195205723,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,212.0,212.0,212.0,0.1611354168109622,0.0,0.1644766503972127,0.2958017112378155,0.6735950578591797,0.4915809595436726,0.5347018374983885,0.4532508126399723,0.3846614873549134,0.2500348224543263,0.2678823171720372,0.288780152015895,0.5685649122134241,0.5104830710336128,0.583019312565692,0.4613054519383047,0.2647030508317315,0.4013575012904835,0.425500192934732,0.2805708960665475,0.3258700507074185,0.4288732249886001,0.3207830259914195,0.7462217800422843,0.1897549229594625,0.7826862194383969,0.2880452854196439,0.5401118997266915,0.1987832833617673,0.4408017668637768,0.2761271193199772,0.6069504242468584,0.6420258527845025,0.7716334673940539,0.5066670695038071,0.3500463467864214,0.2090986351610652,0.3281828674040955,0.1446147571591472,0.3631080935647374,0.1735147316410016,0.0001178390838915,0.0,0.163924321999947,0.2866629786778309,0.1526078021226638,0.2019696923355756,0.0,0.0,0.2475556559768405,0.3941671680437413,0.5541230441077364,0.1764705882352941,0.350943396226415,0.1522468530005024,0.5864362319084107,0.4704766802738589,0.6898833479018145,0.4507215665656314,0.2732383358174856,0.0649277708995129,0.0,0.139083910938487,0.2759568998700706,0.150790005613641,0.3333333333333333,0.0533913968430339,0.1820781463064473,0.0222239566394995,0.1713143854134476,0.628339205983618,0.0,0.2481120201384519,0.3503355611603889,0.4615575572735652,0.3115733075227034,0.3075819260569916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,232.0,232.0,232.0,0.2038909307442361,0.0,0.1373036562182162,0.2551483161756359,0.6687419069466535,0.4707312640727847,0.5331835420494326,0.4031761509669653,0.3846614873549134,0.2500348224543263,0.2678936951944237,0.2937790932596851,0.562597213505311,0.5421142675357582,0.5832269428833413,0.4566479349903041,0.2270256494659042,0.3669731746242827,0.3326026069060837,0.1956693978656447,0.3317092526059008,0.4246454790545095,0.3164952920645544,0.7812319775398293,0.1727807458913335,0.7558146115554817,0.3204407396316936,0.5577972264676585,0.2392536312531985,0.3448246814728124,0.278093166804007,0.5983467624379974,0.6412305984746346,0.7818866324720535,0.5824541067925841,0.4392412494810442,0.2090986351610654,0.3407133367151285,0.1372585993342233,0.3664952160058313,0.196337728919003,0.0001178374179974,0.0,0.1532665351679622,0.2826316268533917,0.1506340630565212,0.2019696923355751,0.0,0.0,0.2426690798301182,0.3857181446975023,0.5541230441077364,0.1764705882352941,0.350943396226415,0.1353298533197757,0.5650517012957395,0.4704766802738589,0.689883347901814,0.4062770989454567,0.2732383358174856,0.0,0.0,0.139083910938487,0.2759568998700706,0.150790005613641,0.3333333333333333,0.1140130128985213,0.1092468877838684,0.0245429830229243,0.1525212037712909,0.6269681612173688,0.0,0.2481120201384519,0.3183785857765138,0.4591502298680133,0.3383886667131525,0.3563059741371511,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=CNc1cccc(S(=O)(=O)c2cccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5sc(-c6ccc(N7C(=O)c8ccccc8C7=O)cc6)c(-c6ccccc6)c5-c5ccccc5)cc3)C4=O)c2)c1,320.0,320.0,320.0,0.2459406817366616,0.5,0.3753786969710161,0.3343239991771143,0.7093651066897068,0.5657923076816236,0.3700992818382764,0.3329181865764106,0.5152941161159548,0.1922288843527315,0.1800847196171142,0.2051853790089568,0.5498232788006944,0.3501006207298137,0.6080935600076208,0.3093727840311926,0.2529847185680837,0.4306569570376809,0.4725180598644581,0.4635887536591558,0.4273141601829799,0.5181608637892798,0.4871632953100232,0.7240854028186081,0.3066454153610382,0.664727277667755,0.2142754425202849,0.4597639254751398,0.2078925494420676,0.5822282080318825,0.4267398368648802,0.6364863544071573,0.7031950945442508,0.586917127637649,0.6483601944649282,0.356429126564517,0.1428808238365909,0.1908776791919698,0.1142670298699549,0.37993048181007,0.2060790669866189,0.2512688181927522,0.0,0.3378609706234027,0.2399696134927591,0.4354692158261667,0.3581638010503645,0.0,0.3333333333333333,0.4137219699658496,0.0,0.4583885062346907,0.1176470588235294,0.1722222222222213,0.3320306507843458,0.7145058937216251,0.2173007760742004,0.7846662977903166,0.4843015639536228,0.2044602773637524,0.4413682284542441,0.0,0.2900009264137961,0.3609233877348301,0.3015800112272821,0.0,0.2617039136262116,0.3935698269669385,0.0094339228249859,0.3677291623870056,0.3221420913799997,0.0,0.2395125021105466,0.3604108665607216,0.5030126632788375,0.1070539274024791,0.0994460010574355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
