smile,tg_min,tg_max,tg_mean,AATS6Z,AATS7m,AATS3v,AATS7v,AATS6are,AATS1i,AATS4i,AATS6i,ATSC1d,ATSC1s,ATSC1m,ATSC7v,AATSC1s,MATS1dv,MATS2dv,MATS1d,MATS2d,MATS3d,MATS4d,MATS2s,MATS3m,MATS4m,MATS7v,MATS6p,MATS2i,MATS4i,GATS2d,GATS5d,GATS2s,GATS4m,GATS5v,GATS6v,GATS1are,GATS3p,GATS5i,AXp-1d,Xp-7dv,NssCH2,SssO,MAXdO,ETA_shape_y,ETA_shape_x,AETA_beta_s,AETA_eta_F,ETA_dAlpha_B,ETA_dEpsilon_B,ETA_dEpsilon_C,IC2,CIC5,MIC0,MIC1,MIC5,Kier3,PEOE_VSA1,SMR_VSA3,SMR_VSA6,SMR_VSA9,SlogP_VSA2,SlogP_VSA4,SlogP_VSA11,EState_VSA4,EState_VSA5,EState_VSA8,VSA_EState8,MDEO-11,AMID,AMID_N,AMID_O,nRot,RotRatio,GGI5,JGI4,JGI6,JGI7
O=COCCN(CCOC(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O)c1ccc(/N=N/c2ccc(F)cc2)cc1,168.0,168.0,168.0,0.273460347400248,0.3085568693702895,0.5461977284054799,0.4456056247371223,0.441638560496119,0.528675357662209,0.4746252172181098,0.4346274884346082,0.160788579365382,0.7505283999143838,0.1833726979668312,0.5263939417891972,0.7842552810943821,0.4966451978941112,0.2194978719182984,0.3982090469284219,0.4460956933298379,0.3343690946349317,0.5201516471816323,0.1809348724394237,0.5959548230735142,0.2011625962581872,0.5646443051921791,0.428793687538236,0.265827065523599,0.2858730938457847,0.2292209396276329,0.302753869689917,0.6328513277627112,0.5442492111025499,0.3129189688203566,0.536232541699289,0.1595762725681555,0.3219501387798616,0.0136212173204925,0.3890274324220533,0.1455247472036756,0.1176470588235294,0.2462786756589383,0.492821698154303,0.4660144694228648,0.0,0.6145260702981838,0.5531916727875681,0.5561865101899186,0.6666690324778559,0.6063195956702421,0.6683384731135567,0.0971956624725447,0.4272036358492552,0.6636924640851037,0.6169012153703972,0.2591108572304647,0.2763733663539523,0.0,0.5819350496954718,0.0,0.5454311488596393,0.0614366466330095,0.0,0.0843774266140915,0.4005719218741841,0.0374688842627471,0.0445872070356151,0.2311546020199034,0.6699808951142394,0.4781401220760548,0.510595728479698,0.2972972972972973,0.4048143486469476,0.1788419405320813,0.2652753557968149,0.2402707060576073,0.3258573608111731
O=COCCCCCCCCCCCCOC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,105.0,105.0,105.0,0.1175603533992365,0.1486266680335795,0.3117840402352468,0.1982819795917376,0.2716758085335167,0.4190263744384932,0.5150438277542699,0.4835283772938004,0.2045932216812985,0.8522164678378032,0.2159891105405365,0.5507009166034617,0.893411262176857,0.6613834368366507,0.6300363678534221,0.4991507806285696,0.7169387337972969,0.6629578791977782,0.6831350949290854,0.2899370559198428,0.8693855093240618,0.4773855404415881,0.5994048119697346,0.4160372144522863,0.251737958143667,0.5219432306402086,0.1145196509966809,0.2784056285841938,0.483774029161089,0.3653879875665802,0.2969341435174084,0.5394025714443544,0.2098222797690772,0.301293495680958,0.1710126453276416,0.5163618861979868,0.1734923660003139,0.3529411764705882,0.3807485705529669,0.4488378365862822,0.2855743404381655,0.0,0.4130859098752504,0.378373509890918,0.4704766802738603,0.4217348862510157,0.7082867753336142,0.4822866839362287,0.3999305394927646,0.2414042944405934,0.4657226886447531,0.3724072134717076,0.3072806691022559,0.2732383358174856,0.0,0.3266202194030749,0.0790887191798956,0.4113304940492909,0.0,0.1666666666666666,0.2982649332050309,0.2248770122725136,0.0,0.0633208886694122,0.1386429440740952,0.6204084800337153,0.1386564863101979,0.6221172496224291,0.4594594594594595,0.6655346021136694,0.1522378716744913,0.3202827623708543,0.2500078015919313,0.290611225131587
O=COc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2c1,246.0,246.0,246.0,0.3061694415052871,0.3472762909342325,0.6916866527465754,0.5027209153919365,0.4710637115898821,0.2529080306410645,0.302027624165297,0.2949086172724877,0.1310072542327943,0.6964052318330528,0.1575920158938219,0.5302407339865095,0.7096302493911979,0.4525061228494149,0.2187715329040363,0.3512417681057808,0.3487316010273806,0.2121434616240026,0.3396749253194483,0.1973432921404213,0.5385961026557785,0.2110659256071429,0.5716644075300519,0.3105768598817184,0.2687767004121449,0.3005417108866454,0.2215866002638685,0.4024117857236268,0.5850251699127749,0.555525657597429,0.3715036567657837,0.720770556114861,0.2132380330235795,0.3705644572403571,0.1650154939177807,0.2478159829107902,0.1488781285567036,0.0,0.387648688358159,0.4630596615855089,0.6094124830985305,0.0,0.6101949025487245,0.5628907357823671,0.488926746166951,0.8092409526412857,0.6657882719737287,0.463163711564144,0.1819644822545367,0.2742065756764238,0.4489227277042101,0.5834338426371073,0.1801156709417757,0.2732383358174856,0.0,0.139083910938487,0.1581774383597913,0.2759568998700706,0.0,0.3333333333333333,0.0827366348490955,0.1092468877838684,0.0,0.0231393475579002,0.165977100822335,0.7843382538208008,0.148413708588977,0.6595796516167501,0.1621621621621621,0.2197434951498448,0.1882316118935837,0.5754998292803241,0.3393090712792502,0.3957865532889193
O=COc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,140.0,140.0,140.0,0.1550400453744308,0.2478631022673216,0.3834730474242401,0.2879170537620472,0.2569452268014194,0.3300297705520201,0.4517820503673562,0.458311391876407,0.2472476270428596,0.5829258638628121,0.5653021028334663,0.6002706768756539,0.6857591423822641,0.5238199876864038,0.5694360899027372,0.4146184421270221,0.5601435970308855,0.542118023014478,0.629126961754484,0.3624731669583465,0.7558239087315923,0.3299219214088089,0.6454701321447933,0.4932420130152333,0.2538661249532508,0.4024488457400547,0.1830722342693761,0.2079593282773392,0.5562977828759075,0.516049149004846,0.3092050156393875,0.5198716545651165,0.2062972878556777,0.3745744179824605,0.1990496165134595,0.4468018945157146,0.3012477625995714,0.3529411764705882,0.5204470334277528,0.4910495547128177,0.2382560039897475,0.1637725570309835,0.4000391108793426,0.5008976309303228,0.3968101128311497,0.5038271169759064,0.7091930577020598,0.5926005814537771,0.4087202216794188,0.3460187533421983,0.601019030611036,0.5048194626210953,0.4290995246033215,0.3643177810899808,0.0,0.3266202194030749,0.1581774383597913,0.4975699212829227,0.0,0.3333333333333333,0.259625568042109,0.5932887960219265,0.0,0.0788588179713342,0.3601445884842319,0.6380129781733732,0.0809270585135436,0.642792612737345,0.5675675675675677,0.6068778775131662,0.2304851330203443,0.320627152437919,0.2508338599428531,0.4049360208383785
O=COc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,125.0,125.0,125.0,0.1074595155023463,0.1318213983834744,0.3423585514322652,0.2377745917766107,0.2309076939394927,0.3562440619367493,0.4595079601863947,0.4627690980435286,0.2337188403661654,0.8316785866588357,0.2631968177952226,0.5458773747556127,0.8764267583689889,0.6348183419192692,0.5092940974758973,0.4315867268119041,0.5581637494096715,0.5790416862305057,0.6344617059598057,0.2888758590239192,0.7483341370909422,0.4345996720857216,0.5868173896312101,0.4443969657664499,0.2351782564317756,0.4105274012949951,0.1974525454463318,0.2762173853331892,0.5144131017599607,0.3971946685807379,0.2927251536989266,0.5226536541806399,0.2309292795499438,0.3248573079842803,0.199946225747346,0.4703785232213544,0.2333556335737867,0.3823529411764705,0.522069296085684,0.489267418393295,0.2698689104553821,0.0,0.3716574548546614,0.4359352645885345,0.4086551908261097,0.4692333536624197,0.7752798636612797,0.5926005814537769,0.4087202216794188,0.199901140941644,0.4792519718641229,0.4283547563027772,0.4419512869841041,0.3643177810899808,0.0,0.3266202194030749,0.1581774383597913,0.4113304940492909,0.0,0.3333333333333333,0.2585695519100797,0.3699206711152026,0.0,0.0808569279157748,0.1148989072705178,0.6778546473314506,0.086744260832633,0.5336596545843987,0.5675675675675677,0.6261034476893508,0.1897965571205007,0.3586753670473085,0.2034157111729999,0.2567214830010887
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc2)C3=O)cc1,230.0,230.0,230.0,0.2644232477892589,0.310914160251443,0.6469998155073725,0.4276282996034326,0.4099313145691114,0.2837898227412498,0.3294442470357257,0.2907181870857407,0.1279356892499115,0.674789440533371,0.1697047251674691,0.541020908554369,0.6959220176144619,0.4619632607602478,0.2201019677126113,0.3305266505396245,0.3466534709655465,0.2449059601613723,0.2968875732051433,0.1932064831958715,0.5338561614387373,0.1569006535017105,0.5934628116767472,0.247583233313714,0.1950218400921902,0.4540357491412319,0.2240932346895365,0.4011221566977322,0.6279200049786708,0.6012567586585582,0.4173449454953764,0.8331799360542578,0.252765580068055,0.3570478070315498,0.1562758598226709,0.2952180623430465,0.1399569198556967,0.0,0.5206479087322945,0.447702355558548,0.5366709400231092,0.0,0.6145260702981838,0.5639353170716177,0.5070351441731349,0.8053554149529384,0.6583694127238855,0.3526552599766852,0.2384201293129944,0.2798072836191762,0.4382794405042388,0.5654404726634943,0.2285004618885924,0.3643177810899808,0.0,0.139083910938487,0.2372661575396869,0.2759568998700706,0.0,0.5,0.0533913968430339,0.2549094048290263,0.0,0.0213664311109887,0.1393086992155683,0.7548097309050608,0.1340623146895883,0.709745846583439,0.2162162162162162,0.2808653756873586,0.1772769953051643,0.5504449058282678,0.3412766340919057,0.4106701049532775
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc2)C3=O)cc1,215.0,215.0,215.0,0.2931392435071491,0.3406643842770933,0.6733123755126705,0.4703750896232368,0.4656041745658439,0.2983414553155743,0.3386243151247514,0.2979075158462034,0.1161732643619957,0.6983792406331557,0.1475868999188866,0.5230683422441547,0.6951457001148237,0.4536509509248956,0.2441578950695004,0.3572087230098401,0.3816366736709287,0.2152627459110808,0.3098171079754781,0.1875239212801797,0.5733294207870135,0.1719051581359736,0.5537627881966921,0.2808462174514348,0.2426745567432061,0.405139775111807,0.2078546204999433,0.4169996236114169,0.6198759316177069,0.5837703494516671,0.3899381010982259,0.8048599751324086,0.2298198915833669,0.3724557834875869,0.1395068662062468,0.2939394555373074,0.12138470568321,0.0,0.3779649212111596,0.4360126512324309,0.5824561642196638,0.0,0.63175858879071,0.5404105521325815,0.5305375330747779,0.8093192030766135,0.6214655422178139,0.3914749112253484,0.1982598090235992,0.3018191667479415,0.4735834560279158,0.5564782063705933,0.165655281392298,0.2732383358174856,0.0,0.139083910938487,0.1581774383597913,0.2759568998700706,0.0,0.3333333333333333,0.0533913968430339,0.2549094048290263,0.0,0.0212645724690862,0.1713143854134476,0.732784544478978,0.1703876986895886,0.7298588121664285,0.1621621621621621,0.2503295059192325,0.169452269170579,0.5626803864976792,0.327025274820616,0.4364521195205723
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,212.0,212.0,212.0,0.2958017112378155,0.3363725163585976,0.6735950578591797,0.4915809595436726,0.4532508126399723,0.2500348224543263,0.288780152015895,0.2860347597371842,0.156268199784845,0.6939704260381834,0.1647117774916356,0.5104830710336128,0.7153446222265397,0.4613054519383047,0.2647030508317315,0.4013575012904835,0.425500192934732,0.2805708960665475,0.3258700507074185,0.1872592110335499,0.6148597816476279,0.2428423870666937,0.5338500541152763,0.2880452854196439,0.2519587552668344,0.3717201818314652,0.1987832833617673,0.4408017668637768,0.6069504242468584,0.5066670695038071,0.3500463467864214,0.7092892273485232,0.2090986351610652,0.3631080935647374,0.1735147316410016,0.2866629786778309,0.1526078021226638,0.0,0.3941671680437413,0.482767454573878,0.5541230441077364,0.0,0.5631240983281938,0.5864362319084107,0.4704766802738589,0.7910982583548961,0.6898833479018145,0.4507215665656314,0.1725117818776761,0.2610713225138154,0.4162023015335548,0.5831490706636342,0.202871244006177,0.2732383358174856,0.0,0.139083910938487,0.2347067621452648,0.2759568998700706,0.0,0.3333333333333333,0.0533913968430339,0.1820781463064473,0.0,0.0222239566394995,0.1713143854134476,0.7632595502886712,0.1386710880394964,0.628339205983618,0.1891891891891892,0.2481120201384519,0.2132707355242566,0.4615575572735652,0.3115733075227034,0.3075819260569916
O=COc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,232.0,232.0,232.0,0.2551483161756359,0.3273082036508577,0.6687419069466535,0.4707312640727847,0.4031761509669653,0.2500348224543263,0.2937790932596851,0.3239752904400319,0.1425784037457212,0.6921665742882598,0.1647117774916359,0.5421142675357582,0.7133035783804471,0.4566479349903041,0.2270256494659042,0.3669731746242827,0.3326026069060837,0.1956693978656447,0.3317092526059008,0.1938321927412314,0.5643035263243181,0.1666105910729129,0.5969258951567754,0.3204407396316936,0.2519587552668356,0.3502411610795286,0.2392536312531985,0.3448246814728124,0.5983467624379974,0.5824541067925841,0.4392412494810442,0.7295361982596462,0.2090986351610654,0.3664952160058313,0.196337728919003,0.2826316268533917,0.1506340630565212,0.0,0.3857181446975023,0.4649532686482422,0.5541230441077364,0.0,0.5631240983281938,0.5650517012957395,0.4704766802738589,0.7910982583548961,0.689883347901814,0.4062770989454567,0.2070141382532117,0.2610713225138154,0.4162023015335548,0.5727617930710205,0.2082275573867009,0.2732383358174856,0.0,0.139083910938487,0.2347067621452648,0.2759568998700706,0.0,0.3333333333333333,0.1140130128985213,0.1092468877838684,0.0,0.0245429830229243,0.1525212037712909,0.7626834205543194,0.1386672521963414,0.6269681612173688,0.1891891891891892,0.2481120201384519,0.2038810641627543,0.4591502298680133,0.3383886667131525,0.3563059741371511
O=CNc1cccc(S(=O)(=O)c2cccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5sc(-c6ccc(N7C(=O)c8ccccc8C7=O)cc6)c(-c6ccccc6)c5-c5ccccc5)cc3)C4=O)c2)c1,320.0,320.0,320.0,0.3343239991771143,0.3188213820341216,0.7093651066897068,0.5657923076816236,0.3329181865764106,0.1922288843527315,0.2051853790089568,0.1515148176724565,0.2726205468808613,0.4544490791196061,0.4719636223065448,0.3501006207298137,0.572017775659843,0.3093727840311926,0.2529847185680837,0.4306569570376809,0.4725180598644581,0.4635887536591558,0.4273141601829799,0.2447009487331926,0.6053870297245948,0.3285588168962194,0.4006415631845916,0.2142754425202849,0.3356317879098755,0.4848069315329864,0.2078925494420676,0.5822282080318825,0.6364863544071573,0.6483601944649282,0.356429126564517,0.719475069638803,0.1428808238365909,0.37993048181007,0.2060790669866189,0.2399696134927591,0.4354692158261667,0.0,0.0,0.5914302029918712,0.4583885062346907,0.1529898218829512,0.4120439780109937,0.7145058937216251,0.2173007760742004,0.7379762605743005,0.7846662977903166,0.4843015639536228,0.2049908519225485,0.4206874303518723,0.5189973175645616,0.6954477779532224,0.3031905204361382,0.2044602773637524,0.0,0.2900009264137961,0.2966766801001235,0.3609233877348301,0.0,0.0,0.2617039136262116,0.3935698269669385,0.0833972003635714,0.0094339228249859,0.3677291623870056,0.7858666963265417,0.2359404239960456,0.3221420913799997,0.2702702702702703,0.2395125021105466,0.3824100156494522,0.5030126632788375,0.1070539274024791,0.0994460010574355
